0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
میزبان ╲ میهمان,مسلم,برق,است,اهواز,شمک,پاس,پیک,پرس,پگا,سای,سپا,فول,فجر,ذوب
ابومسلم,,۱–۱,۰–۱,۴–۲,۳–۰,۱–۱,۱–۰,۰–۱,۳–۰,۱–۲,۰–۰,۲–۲,۱–۰,۱–۰
برق شیراز,۰–۰,,۰–۲,۳–۴,۲–۱,۱–۳,۲–۱,۰–۰,۳–۲,۲–۱,۱–۵,۲–۰,۰–۲,۱–۲
استقلال,۳–۳,۲–۲,,۲–۱,۲–۱,۰–۱,۲–۲,۱–۱,۳–۲,۳–۲,۲–۱,۳–۱,۳–۲,۱–۰
استقلال اهواز,۲–۱,۲–۰,۲–۱,,۱–۲,۲–۳,۰–۰,۱–۱,۱–۱,۱–۱,۲–۰,۲–۲,۳–۰,۰–۱
شموشک نوشهر,۰–۰,۰–۰,۱–۲,۳–۰,,۰–۰,۱–۰,۰–۱,۰–۰,۲–۳,۲–۲,۱–۲,۰–۰,۱–۰
پاس,۱–۱,۱–۱,۲–۲,۵–۰,۲–۱,,۲–۰,۴–۳,۲–۰,۱–۰,۲–۱,۲–۱,۳–۲,۰–۰
پیکان,۱–۰,۳–۱,۱–۱,۱–۲,۲–۰,۳–۱,,۲–۱,۱–۰,۱–۱,۱–۱,۰–۰,۰–۰,۰–۳
پرسپولیس,۰–۰,۴–۰,۱–۲,۰–۰,۲–۱,۱–۲,۰–۰,,۸–۲,۲–۰,۳–۳,۱–۰,۵–۲,۲–۱
پگاه گیلان,۱–۰,۳–۲,۰–۱,۳–۰,۲–۱,۱–۰,۰–۲,۰–۰,,۰–۰,۳–۱,۱–۱,۰–۰,۲–۱
سایپا,۱–۱,۰–۰,۰–۳,۱–۱,۰–۰,۱–۳,۰–۱,۳–۲,۱–۲,,۱–۲,۰–۰,۱–۱,۱–۳
سپاهان,۳–۰,۲–۰,۰–۰,۴–۲,۳–۰,۳–۴,۲–۱,۱–۲,۳–۰,۱–۱,,۲–۱,۳–۱,۲–۱
فولاد,۲–۰,۳–۰,۱–۱,۲–۲,۲–۰,۲–۱,۲–۰,۱–۰,۴–۱,۱–۰,۱–۰,,۳–۰,۰–۰
فجر سپاسی,۱–۰,۰–۰,۲–۲,۱–۱,۰–۰,۱–۱,۲–۱,۱–۱,۲–۱,۱–۱,۲–۱,۱–۲,,۲–۰
ذوب‌آهن,۱–۱,۳–۳,۲–۱,۱–۱,۲–۱,۱–۱,۱–۰,۱–۰,۲–۰,۱–۱,۳–۱,۰–۱,۲–۱,
