نام بازیکن,Unnamed: 1,تیم
علی دایی,۱۶,پرسپولیس
آرش برهانی,۱۲,پاس تهران
رضا عنایتی,۱۱,استقلال
جواد نکونام,۱۰,پاس تهران
مهدی رجب زاده,۹,ذوب آهن
امیر خلیفه‌اصل,۹,استقلال اهواز
خداداد عزیزی,۹,پاس
بهمن طهماسبی,۸,پیکان
پژمان نوری,۸,پگاه گیلان
ایمان مبعلی,۸,فولاد
رسول خطیبی,۸,سپاهان
ایمان رزاقی‌راد,۸,ابومسلم
آدریانو آلوز,۸,استقلال اهواز
