رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,پاس,۲۶,۱۵,۸,۳,۴۸,۲۹,۱۹+,۵۳,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۵
۲,استقلال,۲۶,۱۴,۹,۳,۴۶,۳۱,۱۵+,۵۱,
۳,فولاد,۲۶,۱۳,۸,۵,۳۷,۲۲,۱۵+,۴۷,
۴,ذوب‌آهن,۲۶,۱۱,۷,۸,۳۲,۲۵,۷+,۴۰,
۵,پرسپولیس,۲۶,۱۰,۹,۷,۴۲,۲۸,۱۴+,۳۹,
۶,سپاهان,۲۶,۱۱,۶,۹,۴۷,۳۶,۱۱+,۳۹,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۵۱
۷,پیکان,۲۶,۸,۸,۱۰,۲۴,۲۶,۲−,۳۲,
۸,استقلال اهواز,۲۶,۷,۱۰,۹,۳۵,۴۳,۸−,۳۱,
۹,پگاه,۲۶,۸,۶,۱۲,۲۷,۴۲,۱۵−,۳۰,
۱۰,ابومسلم,۲۶,۶,۱۱,۹,۲۵,۲۶,۱−,۲۹,
۱۱,فجر سپاسی,۲۶,۶,۱۱,۹,۲۷,۳۵,۸−,۲۹,
۱۲,برق شیراز,۲۶,۵,۹,۱۲,۲۷,۴۷,۲۰−,۲۴,
۱۳,سایپا,۲۶,۳,۱۲,۱۱,۲۳,۳۶,۱۳−,۲۱,سقوط به لیگ آزادگان ۸۴–۱۳۸۳
۱۴,شموشک,۲۶,۴,۸,۱۴,۱۹,۳۳,۱۴−,۲۰,سقوط به لیگ آزادگان ۸۴–۱۳۸۳
