Rank,Player,Club,Goals
1,Godwin Mensha,Mes Rafsanjan,14
2,Arthur Yamga,Esteghlal,10
3,Luciano Pereira,Foolad,9
3,Shahriyar Moghanlou,Sepahan,9
5,Mohammad Abbaszadeh,Tractor,8
5,Amirhossein Hosseinzadeh,Esteghlal,8
7,Mehdi Abdi,Persepolis,7
7,Karim Eslami,Nassaji,7
7,Saeid Sadeghi,Gol Gohar,7
7,Morteza Tabrizi,Gol Gohar,7
