Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Esteghlal[a] (C),30,19,11,0,39,10,+29,68,
2,Persepolis,30,18,9,3,44,21,+23,63,
3,Sepahan,30,16,8,6,43,21,+22,56,
4,Gol Gohar,30,13,12,5,37,28,+9,51,
5,Foolad,30,13,10,7,30,22,+8,49,
6,Mes Rafsanjan,30,12,9,9,39,29,+10,45,
7,Zob Ahan,30,10,7,13,21,25,−4,37[b],
8,Aluminium Arak,30,7,16,7,20,23,−3,37[b],
9,Paykan,30,7,15,8,26,27,−1,36[c],
10,Sanat Naft,30,9,9,12,26,30,−4,36[c],
11,Havadar,30,8,10,12,18,25,−7,34,
12,Nassaji Mazandaran,30,6,15,9,24,34,−10,33,
13,Tractor,30,7,10,13,26,32,−6,31,
14,Naft Masjed Soleyman,30,3,13,14,14,35,−21,22,
15,Shahr Khodro (R),30,2,11,17,17,43,−26,17[d],Relegation to Azadegan League
16,Fajr Sepasi (R),30,2,11,17,10,29,−19,17[d],Relegation to Azadegan League
