Rank,Player,Club,Goals
1,Luciano Pereira,Foolad,16
1,Kiros Stanlley,Sepahan,16
3,Ali Alipour,Persepolis,14
4,Anthony Stokes,Tractor Sazi,11
5,Amin Ghaseminejad,Padideh,10
5,Younes Shakeri,Padideh,10
7,Issa Alekasir,Paykan,8
8,Mehrdad Bayrami,Sepidrood,6
8,Ashkan Dejagah,Tractor Sazi,6
8,Mehrdad Mohammadi,Sepahan,6
8,Amir Arsalan Motahari,Zob Ahan,6
