رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,سپاهان,۳۴,۱۹,۱۰,۵,۵۴,۲۷,۲۷+,۶۷,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۳
۲,تراکتورسازی,۳۴,۱۹,۹,۶,۵۷,۳۲,۲۵+,۶۶,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۳
۳,استقلال,۳۴,۱۹,۹,۶,۵۸,۳۴,۲۴+,۶۶,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۳
۴,صبا,۳۴,۱۲,۱۴,۸,۴۰,۳۸,۲+,۵۰,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۳
۵,نفت تهران,۳۴,۱۳,۱۰,۱۱,۳۶,۳۸,۲−,۴۹,
۶,ذوب‌آهن,۳۴,۹,۱۸,۷,۲۹,۳۳,۴−,۴۵,
۷,داماش,۳۴,۱۱,۱۱,۱۲,۳۴,۳۸,۴−,۴۴,
۸,سایپا,۳۴,۱۰,۱۳,۱۱,۵۰,۳۹,۱۱+,۴۳,
۹,مس,۳۴,۱۱,۱۰,۱۳,۳۵,۳۹,۴−,۴۳,
۱۰,صنعت نفت,۳۴,۱۱,۱۰,۱۳,۴۹,۵۷,۸−,۴۳,
۱۱,راه‌آهن,۳۴,۹,۱۵,۱۰,۴۳,۴۲,۱+,۴۲,
۱۲,پرسپولیس,۳۴,۱۰,۱۲,۱۲,۵۰,۵۴,۴−,۴۲,
۱۳,فجر سپاسی,۳۴,۱۰,۱۱,۱۳,۳۱,۳۸,۷−,۴۱,
۱۴,فولاد,۳۴,۱۰,۱۰,۱۴,۳۵,۳۷,۲−,۴۰,
۱۵,ملوان,۳۴,۹,۱۲,۱۳,۳۲,۳۳,۱−,۳۹,
۱۶,شهرداری تبریز,۳۴,۶,۱۶,۱۲,۳۴,۴۴,۱۰−,۳۴,سقوط به لیگ آزادگان ۹۲–۱۳۹۱
۱۷,شاهین بوشهر,۳۴,۶,۱۵,۱۳,۳۰,۴۳,۱۳−,۳۳,سقوط به لیگ آزادگان ۹۲–۱۳۹۱
۱۸,مس سرچشمه,۳۴,۵,۹,۲۰,۲۳,۵۴,۳۱−,۲۴,سقوط به لیگ آزادگان ۹۲–۱۳۹۱
