0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
میزبان ╲ میهمان,داماش,است,فجر,فول,ملو,مس,سرچ,نفت,پرس,راه,صبا,سای,صنآ,سپا,شاه,شهر,تراک,ذوب
داماش گیلان,,۰–۱,۱–۰,۳–۲,۰–۰,۱–۱,۲–۱,۱–۳,۲–۳,۳–۱,۰–۰,۰–۳,۰–۰,۰–۱,۰–۰,۲–۱,۲–۳,۱–۱
استقلال,۱–۰,,۲–۰,۲–۱,۱–۰,۰–۱,۱–۰,۳–۰,۲–۳,۱–۱,۳–۰,۱–۰,۱–۲,۱–۱,۳–۲,۰–۰,۲–۳,۲–۲
فجر سپاسی,۰–۱,۲–۱,,۲–۱,۲–۰,۱–۰,۳–۳,۰–۰,۱–۲,۱–۲,۰–۰,۱–۱,۲–۰,۳–۲,۱–۰,۲–۱,۱–۲,۰–۰
فولاد,۱–۱,۱–۴,۱–۰,,۱–۰,۰–۱,۴–۰,۲–۱,۱–۲,۰–۰,۳–۰,۱–۲,۲–۰,۱–۲,۰–۰,۰–۰,۲–۱,۰–۱
ملوان,۰–۱,۴–۲,۲–۰,۲–۰,,۰–۰,۴–۰,۰–۱,۲–۰,۰–۰,۱–۰,۱–۱,۱–۲,۳–۴,۰–۰,۱–۰,۰–۰,۳–۳
مس کرمان,۲–۲,۱–۲,۱–۲,۱–۱,۱–۰,,۴–۱,۰–۱,۱–۰,۰–۰,۰–۰,۱–۰,۲–۲,۳–۰,۳–۲,۱–۱,۱–۰,۲–۰
مس سرچشمه,۰–۴,۱–۳,۱–۰,۰–۱,۰–۰,۲–۰,,۱–۲,۲–۲,۲–۱,۰–۱,۰–۰,۲–۱,۰–۲,۱–۰,۱–۲,۰–۰,۰–۰
نفت تهران,۱–۰,۰–۲,۱–۰,۱–۳,۳–۱,۳–۲,۱–۰,,۰–۳,۲–۲,۲–۲,۲–۰,۱–۳,۰–۱,۲–۱,۰–۰,۱–۱,۰–۱
پرسپولیس,۰–۳,۰–۲,۲–۳,۱–۱,۱–۱,۱–۱,۲–۱,۰–۰,,۳–۴,۲–۰,۲–۴,۳–۱,۰–۰,۴–۱,۱–۲,۰–۱,۰–۰
راه‌آهن,۰–۱,۲–۲,۱–۱,۰–۰,۰–۱,۲–۰,۳–۱,۲–۱,۱–۱,,۰–۲,۲–۲,۰–۲,۱–۱,۴–۱,۲–۰,۰–۱,۲–۲
صبای قم,۰–۱,۱–۱,۱–۱,۱–۰,۱–۰,۱–۱,۳–۱,۰–۰,۲–۲,۲–۱,,۳–۰,۲–۲,۰–۰,۱–۱,۳–۱,۲–۲,۰–۱
سایپا,۳–۰,۲–۲,۵–۰,۰–۰,۱–۱,۴–۲,۳–۱,۰–۰,۰–۱,۰–۱,۰–۰,,۲–۲,۰–۴,۳–۰,۱–۲,۰–۱,۰–۱
صنعت نفت,۲–۰,۱–۲,۱–۱,۲–۲,۱–۲,۱–۰,۲–۰,۲–۱,۴–۲,۲–۱,۲–۳,۰–۴,,۰–۴,۱–۱,۰–۲,۳–۳,۱–۱
سپاهان,۳–۰,۱–۱,۱–۰,۲–۰,۳–۲,۴–۰,۰–۰,۰–۱,۱–۱,۳–۲,۱–۲,۲–۱,۲–۱,,۲–۰,۱–۰,۲–۱,۱–۱
شاهین,۱–۱,۱–۱,۱–۰,۱–۲,۰–۰,۱–۰,۱–۰,۱–۰,۲–۱,۰–۰,۴–۰,۲–۲,۱–۱,۱–۱,,۲–۲,۰–۳,۱–۱
شهرداری تبریز,۰–۰,۱–۲,۰–۰,۱–۱,۲–۰,۰–۱,۱–۱,۲–۲,۲–۲,۲–۲,۱–۳,۱–۱,۲–۱,۰–۲,۱–۱,,۰–۱,۰–۰
تراکتور,۳–۱,۰–۲,۰–۰,۲–۰,۲–۰,۳–۱,۰–۰,۱–۲,۴–۱,۱–۱,۲–۳,۲–۲,۴–۱,۱–۰,۱–۰,۵–۱,,۲–۱
ذوب‌آهن,۰–۰,۰–۲,۱–۱,۱–۰,۰–۰,۱–۰,۱–۰,۱–۱,۲–۲,۰–۲,۲–۱,۰–۳,۱–۳,۰–۰,۱–۰,۲–۲,۰–۱,
