0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,استقلال,اس ا,اس.خ,فول,گست,ملو,نفت,شهر,پرس,راه,صبا,سای,سپا,سیه,ترا,ذوب
استقلال,,۱–۱,۱–۱,۳–۰,۲–۱,۲–۰,۲–۱,۰–۰,۱–۱,۳–۳,۱–۰,۱–۱,۰–۰,۳–۱,۲–۳,۰–۲
استقلال اهواز,۱–۲,,۰–۱,۱–۲,۰–۲,۱–۱,۰–۱,۲–۳,۰–۲,۱–۰,۰–۳,۱–۲,۱–۱,۱–۰,۰–۲,۱–۱
استقلال خوزستان,۱–۱,۴–۰,,۰–۱,۱–۰,۰–۰,۰–۰,۳–۰,۲–۱,۳–۱,۱–۱,۱–۰,۱–۱,۲–۱,۱–۱,۲–۰
فولاد,۰–۲,۳–۲,۰–۲,,۱–۱,۱–۰,۱–۲,۱–۰,۰–۲,۲–۲,۰–۰,۱–۰,۱–۰,۱–۰,۱–۲,۰–۳
گسترش فولاد,۰–۲,۴–۰,۰–۰,۱–۱,,۳–۱,۱–۱,۴–۱,۲–۴,۳–۲,۲–۰,۰–۱,۱–۰,۱–۰,۱–۳,۴–۳
ملوان,۲–۲,۲–۰,۱–۱,۱–۰,۰–۱,,۰–۰,۰–۰,۱–۲,۰–۰,۱–۱,۳–۲,۰–۰,۰–۰,۰–۱,۱–۰
نفت تهران,۱–۰,۱–۰,۰–۰,۲–۱,۱–۰,۳–۳,,۲–۱,۱–۱,۲–۰,۱–۱,۱–۰,۰–۱,۱–۲,۰–۱,۰–۱
شهرخودرو,۱–۱,۲–۰,۰–۱,۱–۱,۲–۱,۱–۰,۱–۲,,۲–۲,۱–۰,۰–۰,۱–۰,۱–۱,۱–۰,۱–۰,۰–۱
پرسپولیس,۴–۲,۱–۰,۲–۰,۱–۰,۱–۰,۲–۰,۰–۲,۲–۲,,۲–۱,۱–۱,۱–۲,۲–۲,۳–۲,۱–۱,۱–۲
راه‌آهن,۰–۱,۵–۰,۰–۱,۱–۱,۰–۰,۰–۱,۰–۱,۳–۱,۰–۲,,۲–۱,۰–۲,۱–۰,۰–۰,۰–۰,۱–۱
صبای قم,۱–۱,۰–۰,۱–۱,۲–۱,۱–۱,۱–۰,۱–۳,۱–۰,۰–۱,۰–۱,,۴–۰,۱–۰,۱–۰,۲–۱,۰–۰
سایپا,۱–۲,۴–۱,۰–۱,۱–۰,۰–۰,۲–۱,۰–۰,۲–۱,۱–۱,۱–۰,۰–۰,,۰–۲,۱–۱,۰–۱,۰–۱
سپاهان,۰–۳,۱–۱,۱–۰,۱–۱,۲–۱,۲–۲,۲–۱,۰–۲,۴–۲,۰–۰,۲–۲,۱–۲,,۱–۱,۰–۰,۱–۱
سیاه‌جامگان,۱–۲,۲–۱,۰–۱,۰–۱,۱–۰,۲–۰,۱–۰,۱–۱,۱–۲,۱–۰,۱–۲,۱–۲,۰–۱,,۲–۱,۰–۱
تراکتور,۰–۰,۵–۰,۰–۰,۳–۲,۱–۱,۴–۲,۰–۰,۱–۲,۰–۱,۱–۱,۱–۱,۲–۰,۲–۱,۰–۰,,۴–۴
ذوب‌آهن,۰–۰,۰–۰,۰–۱,۱–۱,۰–۰,۱–۰,۰–۰,۳–۱,۲–۲,۴–۰,۱–۱,۱–۱,۰–۱,۳–۱,۱–۲,
