Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis,22,14,5,3,53,17,+36,33,Promoted to Semi-final
2,Keshavarz,22,8,11,3,26,15,+11,27,Promoted to Semi-final
3,Bargh Shiraz,22,8,10,4,18,11,+7,26,
4,Esteghlal Ahvaz,22,8,10,4,31,27,+4,26,
5,Ararat,22,8,9,5,31,19,+12,25,
6,PAS Tehran,22,6,13,3,32,22,+10,25,
7,Malavan,22,8,8,6,23,16,+7,24,
8,Zob Ahan (R),22,6,11,5,31,34,−3,24[a],Relegated to 2nd Division
9,Teraktor Sazi (R),22,5,10,7,29,31,−2,20,Relegated to 2nd Division
10,Nassaji Mazandaran (R),22,5,6,11,16,32,−16,15[b],Relegated to 2nd Division
11,Qods Sari (R),22,5,4,13,16,33,−17,14,Relegated to 2nd Division
12,Shahin Bushehr (R),22,0,5,17,7,56,−49,5,Relegated to 2nd Division
