Rank,Player,Club,Goals
1,Edinho,Tractor Sazi,20
2,Sajjad Shahbazzadeh,Esteghlal,12
2,Mehdi Sharifi,Sepahan,12
4,Luciano Pereira,Sepahan,11
5,Jaber Ansari,Gostaresh Foolad,9
5,Omid Ebrahimi,Esteghlal,9
5,Reza Enayati,Esteghlal,9
5,Masoud Hassanzadeh,Zob Ahan,9
5,Mohammad Reza Khalatbari,Sepahan,9
5,Amir Arsalan Motahari,Naft Tehran,9
5,Saman Nariman Jahan,Tractor Sazi,9
5,Aloys Nong,Foolad,9
5,Ramin Rezaeian,Rah Ahan,9
