Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Foolad (C),30,19,7,4,41,20,+21,64,Qualification for the 2006 AFC Champions League
2,Zob Ahan,30,17,7,6,38,19,+19,58,
3,Esteghlal,30,16,10,4,51,35,+16,58,
4,Persepolis,30,16,7,7,43,27,+16,55,
5,Est. Ahvaz,30,12,8,10,41,34,+7,44,
6,Pas,30,11,9,10,49,40,+9,42,
7,Malavan,30,10,11,9,34,27,+7,41,
8,Aboumoslem,30,9,11,10,33,33,0,38,
9,Saba,30,8,11,11,38,40,−2,35,Qualification for the 2006 AFC Champions League
10,Sepahan,30,7,14,9,30,33,−3,35,
11,Fajr,30,9,8,13,24,32,−8,35,
12,Bargh,30,7,12,11,34,43,−9,33,
13,Saipa,30,7,10,13,24,34,−10,31,
14,Shamoushak,30,8,7,15,26,49,−23,31,
15,Paykan (R),30,5,9,16,22,34,−12,24,Relegation to the 2005–06 Azadegan League
16,Pegah (R),30,3,11,16,17,45,−28,20,Relegation to the 2005–06 Azadegan League
