گل,بازیکن,باشگاه
۱۹,سید جلال رافخایی,ملوان
۱۶,سید مهدی سیدصالحی,تراکتورسازی
۱۴,محمدرضا خلعتبری,سپاهان
۱۴,مصطفی شجاعی,مس
۱۲,لوسیانو پریرا مندز,فولاد
۱۱,سعید دقیقی,سایپا
۱۱,جواهیر سوکای,سپاهان
۱۱,رضا عنایتی,مس
۱۰,آرش برهانی,استقلال
۱۰,فرزاد حاتمی,استقلال
۱۰,یعقوب کریمی,نفت تهران
۱۰,فلاویو لوپز,تراکتورسازی
