0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ميزبان / ميهمان۱,آلو,دام,استقلال,فجر,فول,گهر,ملو,نفت,پیک,پرس,راه,صبا,سای,مس,نآب,سپا,ترا,ذوب
آلومینیوم هرمزگان,,۰–۰,۰–۲,۳–۳,۱–۱,۱–۰,۳–۲,۰–۰,۰–۱,۰–۰,۱–۱,۰–۱,۱–۰,۱–۰,۱–۱,۱–۱,۱–۲,۰–۰
داماش گیلان,۱–۲,,۱–۰,۱–۰,۱–۱,۱–۰,۰–۰,۲–۰,۵–۳,۱–۰,۰–۱,۱–۱,۱–۱,۰–۱,۳–۱,۲–۱,۱–۲,۰–۰
استقلال,۱–۰,۱–۲,,۰–۰,۲–۳,۲–۰,۱–۱,۲–۱,۲–۰,۰–۰,۱–۰,۱–۰,۱–۰,۲–۱,۲–۱,۱–۱,۱–۰,۱–۰
فجر سپاسی,۶–۰,۶–۱,۰–۵,,۱–۱,۰–۰,۲–۱,۰–۰,۰–۰,۰–۲,۲–۲,۱–۱,۱–۰,۱–۱,۲–۰,۰–۰,۱–۰,۳–۰
فولاد,۲–۱,۲–۲,۰–۱,۲–۱,,۴–۱,۱–۰,۳–۱,۳–۱,۱–۱,۲–۱,۲–۲,۲–۰,۰–۱,۳–۱,۱–۳,۳–۲,۲–۱
گهر دورود,۰–۱,۱–۲,۰–۲,۰–۳,۱–۱,,۰–۱,۰–۰,۲–۰,۱–۱,۲–۱,۱–۱,۰–۳,۰–۱,۲–۲,۱–۴,۱–۲,۱–۰
ملوان,۱–۰,۳–۱,۰–۰,۱–۰,۲–۲,۱–۱,,۱–۳,۰–۰,۲–۲,۰–۰,۰–۱,۱–۰,۱–۱,۲–۲,۰–۲,۱–۱,۰–۱
نفت تهران,۰–۰,۲–۰,۱–۱,۲–۱,۰–۰,۰–۰,۲–۰,,۱–۲,۱–۱,۱–۱,۱–۰,۰–۰,۰–۰,۴–۱,۳–۴,۱–۱,۱–۰
پیکان,۲–۱,۰–۲,۰–۳,۱–۲,۰–۵,۳–۲,۱–۰,۱–۳,,۱–۲,۲–۴,۱–۴,۱–۲,۰–۰,۰–۰,۱–۰,۱–۱,۲–۲
پرسپولیس,۱–۰,۱–۰,۰–۰,۲–۳,۰–۰,۳–۲,۱–۰,۰–۰,۶–۰,,۲–۰,۰–۲,۴–۱,۲–۲,۲–۲,۱–۰,۰–۱,۳–۲
راه‌آهن,۳–۰,۱–۰,۰–۲,۱–۰,۲–۱,۳–۱,۰–۱,۰–۱,۱–۰,۱–۰,,۱–۱,۰–۰,۱–۱,۲–۱,۰–۱,۰–۱,۱–۱
صبای قم,۲–۱,۳–۳,۱–۱,۱–۱,۰–۰,۱–۰,۱–۳,۱–۲,۴–۰,۰–۰,۰–۱,,۲–۱,۰–۱,۳–۲,۱–۱,۰–۰,۰–۰
سایپا,۱–۰,۲–۰,۲–۱,۳–۰,۱–۱,۲–۲,۲–۲,۰–۱,۲–۱,۰–۰,۰–۱,۲–۰,,۰–۰,۱–۰,۰–۳,۲–۲,۰–۰
مس کرمان,۰–۰,۱–۰,۰–۰,۱–۰,۰–۰,۵–۱,۱–۲,۰–۱,۰–۰,۲–۱,۴–۰,۰–۰,۲–۲,,۱–۰,۱–۰,۱–۳,۱–۰
نفت آبادان,۲–۲,۰–۰,۱–۲,۱–۱,۱–۰,۰–۰,۱–۱,۲–۶,۲–۰,۰–۱,۱–۰,۲–۱,۰–۳,۰–۰,,۱–۱,۰–۱,۱–۱
سپاهان,۲–۲,۳–۰,۰–۱,۱–۰,۰–۱,۲–۱,۳–۱,۳–۱,۲–۰,۲–۰,۲–۲,۲–۰,۰–۲,۱–۰,۳–۰,,۱–۴,۴–۳
تراکتور,۱–۱,۲–۲,۲–۰,۳–۱,۱–۱,۵–۰,۱–۰,۲–۱,۱–۰,۳–۱,۳–۰,۰–۰,۰–۰,۲–۱,۳–۲,۱–۳,,۱–۱
ذوب آهن,۰–۱,۱–۰,۰–۰,۱–۰,۲–۱,۱–۰,۲–۳,۰–۱,۲–۱,۱–۱,۰–۰,۱–۲,۳–۲,۱–۲,۶–۰,۰–۴,۳–۱,
