رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,استقلال,۳۴,۱۹,۱۰,۵,۴۲,۱۸,۲۴+,۶۷,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۴
۲,تراکتورسازی,۳۴,۱۸,۱۱,۵,۵۵,۳۲,۲۳+,۶۵,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۴
۳,سپاهان,۳۴,۱۹,۷,۸,۶۰,۳۳,۲۷+,۶۴,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۴
۴,فولاد,۳۴,۱۴,۱۴,۶,۵۲,۳۵,۱۷+,۵۶,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۴
۵,نفت تهران,۳۴,۱۴,۱۳,۷,۴۲,۲۹,۱۳+,۵۵,
۶,مس,۳۴,۱۳,۱۴,۷,۳۳,۲۲,۱۱+,۵۳,
۷,پرسپولیس,۳۴,۱۲,۱۴,۸,۴۱,۳۱,۱۰+,۵۰,
۸,راه‌آهن,۳۴,۱۲,۱۰,۱۲,۳۲,۳۵,۳−,۴۶,
۹,صبا,۳۴,۱۰,۱۵,۹,۳۷,۳۳,۴+,۴۵,
۱۰,سایپا,۳۴,۱۱,۱۲,۱۱,۳۷,۳۳,۴+,۴۵,
۱۱,داماش,۳۴,۱۱,۱۰,۱۳,۳۶,۴۳,۷−,۴۳,
۱۲,فجر سپاسی,۳۴,۱۰,۱۲,۱۲,۴۲,۳۸,۴+,۴۲,
۱۳,ملوان,۳۴,۹,۱۳,۱۲,۳۴,۳۹,۵−,۴۰,
۱۴,ذوب‌آهن,۳۴,۹,۱۱,۱۴,۳۶,۴۰,۴−,۳۸,سقوط به مرحلهٔ پلی‌آف
۱۵,آلومینیوم,۳۴,۷,۱۴,۱۳,۲۶,۴۰,۱۴−,۳۵,سقوط به لیگ آزادگان ۹۳–۱۳۹۲
۱۶,صنعت نفت,۳۴,۴,۱۳,۱۷,۳۱,۶۰,۲۹−,۲۵,سقوط به لیگ آزادگان ۹۳–۱۳۹۲
۱۷,پیکان,۳۴,۶,۷,۲۱,۲۶,۶۶,۴۰−,۲۵,سقوط به لیگ آزادگان ۹۳–۱۳۹۲
۱۸,گهر دورود,۳۴,۳,۱۰,۲۱,۲۴,۵۹,۳۵−,۱۹,سقوط به لیگ آزادگان ۹۳–۱۳۹۲
