نام بازیکن,Unnamed: 1,تیم
ادموند بزیک,۱۳,سپاهان
محرم نویدکیا,۱۲,سپاهان
رضا عنایتی,۱۱,ابومسلم
علی علی‌زاده,۹,فجر سپاسی
بهنام سراج,۸,فولاد
محمد مؤمنی,۸,سایپا
محمد منصوری,۸,برق شیراز
