0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
ميزبان / ميهمان۱,ابو,برق,استقلال,اس ا,ملو,پاس,پیک,پرس,سای,نفت,سپا,فول,فجر,ذوب
ابومسلم,,۳–۰,۲–۲,۱–۰,۰–۰,۱–۲,۳–۱,۰–۱,۰–۰,۰–۰,۱–۱,۲–۰,۰–۱,۰–۰
برق شیراز,۲–۱,,۱–۲,۰–۳,۰–۰,۰–۳,۱–۰,۱–۲,۲–۲,۲–۱,۱–۲,۱–۰,۰–۱,۴–۰
استقلال,۰–۰,۱–۲,,۰–۰,۳–۰,۳–۱,۲–۱,۱–۲,۱–۳,۱–۰,۲–۳,۰–۰,۰–۱,۰–۰
استقلال اهواز,۱–۱,۱–۲,۲–۱,,۰–۰,۰–۲,۰–۱,۰–۰,۲–۵,۳–۲,۱–۰,۰–۲,۱–۱,۲–۱
ملوان,۱–۱,۲–۱,۰–۰,۰–۰,,۱–۰,۱–۰,۱–۱,۰–۱,۱–۰,۲–۱,۱–۱,۰–۴,۰–۱
پاس,۱–۰,۱–۱,۱–۱,۲–۲,۲–۰,,۲–۰,۰–۱,۲–۰,۴–۲,۱–۲,۱–۲,۲–۱,۱–۲
پیکان,۴–۱,۱–۰,۱–۰,۱–۱,۴–۰,۰–۰,,۱–۱,۳–۱,۱–۲,۰–۲,۲–۱,۱–۰,۰–۰
پرسپولیس,۱–۰,۰–۰,۱–۱,۲–۱,۲–۳,۰–۰,۱–۰,,۲–۱,۱–۰,۱–۱,۳–۳,۲–۰,۰–۱
سایپا,۰–۱,۳–۰,۲–۱,۰–۰,۳–۲,۰–۲,۱–۲,۱–۱,,۱–۰,۰–۰,۱–۱,۰–۰,۰–۱
صنعت نفت,۳–۱,۱–۲,۱–۰,۱–۱,۱–۰,۱–۱,۰–۰,۰–۰,۱–۲,,۰–۱,۲–۲,۱–۱,۱–۰
سپاهان,۱–۱,۱–۰,۳–۲,۱–۰,۲–۰,۲–۳,۴–۲,۲–۱,۳–۰,۴–۱,,۲–۳,۱–۲,۴–۰
فولاد,۲–۱,۲–۵,۱–۲,۲–۱,۲–۰,۱–۰,۰–۰,۰–۲,۲–۰,۳–۱,۱–۳,,۲–۲,۰–۱
فجر سپاسی,۱–۰,۰–۰,۲–۳,۲–۱,۳–۲,۰–۲,۰–۰,۰–۰,۱–۱,۰–۰,۲–۰,۱–۰,,۱–۲
ذوب آهن,۱–۱,۴–۰,۰–۳,۰–۱,۱–۰,۰–۱,۰–۱,۳–۲,۰–۱,۲–۳,۰–۱,۲–۱,۰–۱,
