Position,Player,Club,Goals
1,Jalal Rafkhaei,Malavan,19.0
2,Mehdi Seyed Salehi,Tractor Sazi,16.0
3,Mohammad Reza Khalatbari,Sepahan,14.0
3,Mostafa Shojaei,Mes Kerman,14.0
5,Chimba,Foolad,12.0
6,Saeid Daghighi,Saipa,11.0
6,Reza Enayati,Mes Kerman,11.0
6,Xhevahir Sukaj,Sepahan,11.0
9,Arash Borhani,Esteghlal,10.0
9,Yaghoub Karimi,Naft Tehran,10.0
9,Flávio Paixão,Tractor Sazi,10.0
12,Farzad Hatami,Esteghlal,9.0
13,Karim Ansarifard,Persepolis,8.0
13,Omid Ebrahimi,Sepahan,8.0
13,Alireza Jahanbakhsh,Damash,8.0
Total goals (Including technical loses),Total goals (Including technical loses),Total goals (Including technical loses),686.0
Total games,Total games,Total games,306.0
Average per game,Average per game,Average per game,2.24
