Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,PAS Tehran (C),22,14,6,2,32,11,+21,34,Qualification for the 1992–93 Asian Club Championship
2,Esteghlal,22,12,8,2,30,15,+15,32,
3,Persepolis,22,13,5,4,30,12,+18,31,Qualification for the 1992–93 Asian Cup Winners' Cup
4,Malavan,22,9,8,5,21,11,+10,26,
5,Jonoob Ahvaz,22,7,8,7,25,26,−1,22,
6,Sepahan (R),22,9,4,9,20,30,−10,22,Relegated to 2nd Division
7,Nassaji Mazandaran,22,6,8,8,16,22,−6,20,
8,Esteghlal Ahvaz,22,6,7,9,25,23,+2,19,
9,Koma Shiraz,22,4,9,9,9,21,−12,17,
10,Teraktor Sazi,22,5,6,11,25,32,−7,16,
11,Esteghlal Rasht (R),22,4,7,11,13,21,−8,15,Relegated to 2nd Division
12,Aboomoslem,22,3,4,15,14,36,−22,10,
