Rank,Player,Club,Goals[1]
1,Mohammad Momeni,Polyacryl,19
2,Kourosh Barmak,Keshavarz,15
3,Hashem Heydari,Bahman,14
3,Alimirza Ostovari,Bargh Shiraz,14
5,Mehdi Jafarpour,Machine Sazi,13
6,Ali Asghar Modir,Keshavarz,12
7,Edmond Bezik,Ararat Tehran,11
7,Edmond Akhtar,Esteghlal,11
9,Farhad H. Arab,Esteghlal Ahvaz,10
