Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis (C),30,15,12,3,33,18,+15,57,Qualification for the 1996–97 Asian Club Championship
2,Bahman,30,13,12,5,47,24,+23,51,
3,Esteghlal,30,14,9,7,41,26,+15,51,Qualification for the 1996–97 Asian Cup Winners' Cup
4,PAS,30,13,6,11,33,35,−2,45,
5,Sepahan,30,11,9,10,40,34,+6,42,
6,Bargh Shiraz,30,11,9,10,32,26,+6,42,
7,Esteghlal Ahvaz,30,12,5,13,40,41,−1,41,
8,Machine Sazi,30,11,8,11,35,38,−3,41,
9,Keshavarz,30,9,13,8,32,25,+7,40,
10,Polyacryl,30,10,8,12,33,39,−6,38,
11,Shamoushak Noshahr,30,10,8,12,28,38,−10,38,
12,Malavan,30,9,10,11,21,25,−4,37,
13,Jonoob Ahvaz (R),30,9,9,12,26,39,−13,36,Relegation to the 1996–97 Iran 2nd Division
14,Ararat Tehran (R),30,8,7,15,27,39,−12,31,Relegation to the 1996–97 Iran 2nd Division
15,Sh. Tabriz (R),30,6,10,14,24,34,−10,28,Relegation to the 1996–97 Iran 2nd Division
16,Saipa (R),30,5,13,12,31,42,−11,28,Relegation to the 1996–97 Iran 2nd Division
