رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,سپاهان,۳۴,۱۸,۱۲,۴,۵۶,۲۹,۲۷+,۶۶,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۲
۲,استقلال,۳۴,۱۸,۱۱,۵,۵۵,۳۴,۲۱+,۶۵,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۲
۳,ذوب‌آهن,۳۴,۱۸,۹,۷,۴۹,۳۱,۱۸+,۶۳,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۲
۴,پرسپولیس,۳۴,۱۷,۷,۱۰,۵۰,۳۶,۱۴+,۵۸,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۲
۵,تراکتورسازی,۳۴,۱۵,۱۲,۷,۴۲,۲۹,۱۳+,۵۷,
۶,فولاد,۳۴,۱۴,۱۲,۸,۵۸,۳۶,۲۲+,۵۴,
۷,مس کرمان,۳۴,۱۳,۱۳,۸,۴۱,۳۰,۱۱+,۵۲,
۸,ملوان,۳۴,۱۳,۹,۱۲,۳۳,۳۲,۱+,۴۸,
۹,صنعت نفت,۳۴,۱۳,۳,۱۸,۳۶,۵۴,۱۸−,۴۲,
۱۰,صبای قم,۳۴,۹,۱۴,۱۱,۳۹,۴۰,۱−,۴۱,
۱۱,سایپا,۳۴,۸,۱۳,۱۳,۴۲,۴۷,۵−,۳۷,
۱۲,شهرداری تبریز,۳۴,۸,۱۳,۱۳,۴۵,۵۳,۸−,۳۷,
۱۳,نفت تهران,۳۴,۷,۱۵,۱۲,۳۸,۴۴,۶−,۳۶,
۱۴,شاهین بوشهر,۳۴,۸,۱۱,۱۵,۳۱,۳۷,۶−,۳۵,
۱۵,راه آهن,۳۴,۸,۱۱,۱۵,۲۹,۳۹,۱۰−,۳۵,
۱۶,پاس,۳۴,۸,۱۱,۱۵,۳۰,۴۸,۱۸−,۳۵,سقوط به لیگ آزادگان ۹۱–۱۳۹۰
۱۷,پیکان,۳۴,۹,۶,۱۹,۳۸,۶۰,۲۲−,۳۳,سقوط به لیگ آزادگان ۹۱–۱۳۹۰
۱۸,استیل آذین,۳۴,۶,۱۰,۱۸,۳۰,۶۳,۳۳−,۲۸,سقوط به لیگ آزادگان ۹۱–۱۳۹۰
