رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,پرسپولیس,۳۴,۱۸,۱۱,۵,۵۵,۳۴,۲۱+,۵۹[a],مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۹ کسر ۶ امتیاز۲
۲,سپاهان,۳۴,۱۷,۱۰,۷,۵۳,۳۸,۱۵+,۵۸[b],مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۹ کسر ۳ امتیاز۳
۳,صبا,۳۴,۱۳,۱۳,۸,۴۱,۳۷,۴+,۵۲,مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۹
۴,ابومسلم,۳۴,۱۴,۸,۱۲,۳۷,۳۷,۰,۵۰,
۵,پاس,۳۴,۱۱,۱۶,۷,۳۶,۲۸,۸+,۴۹,
۶,ذوب‌آهن,۳۴,۱۱,۱۵,۸,۳۹,۳۲,۷+,۴۸,
۷,برق شیراز,۳۴,۱۱,۱۴,۹,۴۳,۴۷,۴−,۴۷,
۸,استقلال اهواز,۳۴,۱۱,۱۳,۱۰,۶۱,۵۱,۱۰+,۴۶,
۹,پیکان,۳۴,۱۲,۱۰,۱۲,۴۱,۴۲,۱−,۴۶,
۱۰,مس,۳۴,۱۱,۱۲,۱۱,۳۶,۳۴,۲+,۴۵,
۱۱,سایپا,۳۴,۱۲,۹,۱۳,۳۳,۳۵,۲−,۴۵,
۱۲,راه‌آهن,۳۴,۱۱,۱۱,۱۲,۴۵,۴۰,۵+,۴۴,
۱۳,استقلال,۳۴,۱۱,۱۰,۱۳,۴۴,۴۴,۰,۴۳,مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۹
۱۴,فجر سپاسی,۳۴,۹,۱۵,۱۰,۳۷,۴۱,۴−,۴۲,
۱۵,پگاه,۳۴,۹,۱۱,۱۴,۲۶,۳۵,۹−,۳۸,
۱۶,ملوان,۳۴,۸,۱۲,۱۴,۳۲,۴۱,۹−,۳۶,
۱۷,صنعت نفت,۳۴,۹,۸,۱۷,۳۷,۴۶,۹−,۳۵,سقوط به لیگ آزادگان ۸۸–۱۳۸۷
۱۸,شیرین فراز,۳۴,۳,۱۲,۱۹,۲۵,۵۹,۳۴−,۲۱,سقوط به لیگ آزادگان ۸۸–۱۳۸۷
