گل,پاس‌گل,تیم
مجتبی جباری,۸,استقلال
داوود حقی,۸,استقلال اهواز
علیرضا واحدی نیکبخت,۷,پرسپولیس
مهدی شیری,۷,برق شیراز
خسرو حیدری,۷,پاس همدان
محمد نوازی,۶,استقلال
عباس آقایی,۶,پرسپولیس
احسان حاج صفی,۶,سپاهان
محمد رضا ناصحی,۶,ابومسلم
