رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,پرسپولیس (ق),۳۰,۱۶,۱۳,۱,۳۶,۱۴,۲۲+,۶۱,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۲۰
۲,سپاهان,۳۰,۱۵,۱۳,۲,۴۶,۲۰,۲۶+,۵۸,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۲۰
۳,استقلال,۳۰,۱۶,۹,۵,۴۰,۱۳,۲۷+,۵۷,صعود به مرحله پلی‌آف لیگ قهرمانان آسیا ۲۰۲۰
۴,پدیده شهر خودرو,۳۰,۱۶,۸,۶,۳۲,۱۶,۱۶+,۵۶,صعود به مرحله پلی‌آف لیگ قهرمانان آسیا ۲۰۲۰
۵,تراکتورسازی,۳۰,۱۴,۱۰,۶,۴۲,۲۵,۱۷+,۵۲,
۶,ذوب‌آهن,۳۰,۹,۱۳,۸,۲۸,۲۸,۰,۴۰,
۷,سایپا,۳۰,۹,۱۱,۱۰,۲۸,۳۳,۵−,۳۸,
۸,فولاد,۳۰,۹,۱۱,۱۰,۳۰,۳۹,۹−,۳۸,
۹,صنعت نفت,۳۰,۷,۱۶,۷,۳۱,۳۰,۱+,۳۷,
۱۰,نساجی,۳۰,۷,۱۵,۸,۲۹,۲۹,۰,۳۶,
۱۱,پیکان,۳۰,۹,۸,۱۳,۲۷,۳۵,۸−,۳۵,
۱۲,پارس جم,۳۰,۷,۹,۱۴,۲۸,۳۳,۵−,۳۰,
۱۳,ماشین‌سازی,۳۰,۴,۱۷,۹,۱۹,۲۶,۷−,۲۹,
۱۴,نفت م.س.,۳۰,۳,۱۳,۱۴,۱۶,۳۴,۱۸−,۲۲,
۱۵,سپیدرود (س),۳۰,۳,۱۱,۱۶,۲۴,۵۳,۲۹−,۲۰,سقوط به لیگ آزادگان ۹۹–۱۳۹۸
۱۶,استقلال خوزستان (س),۳۰,۳,۹,۱۸,۱۹,۴۷,۲۸−,۱۲,سقوط به لیگ آزادگان ۹۹–۱۳۹۸
