رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,پرسپولیس,۳۰,۲۰,۶,۴,۴۶,۱۴,۳۲+,۶۶,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۸
۲,استقلال,۳۰,۱۶,۹,۵,۴۵,۲۷,۱۸+,۵۷,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۸
۳,تراکتورسازی,۳۰,۱۵,۱۱,۴,۳۸,۲۴,۱۴+,۵۶,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۸
۴,ذوب‌آهن,۳۰,۱۲,۱۰,۸,۳۹,۳۱,۸+,۴۶,پلی‌‌آف لیگ قهرمانان آسیا ۲۰۱۸
۵,سپاهان,۳۰,۱۲,۹,۹,۳۸,۳۴,۴+,۴۵,
۶,پیکان,۳۰,۱۲,۸,۱۰,۳۹,۳۸,۱+,۴۴,
۷,استقلال خوزستان,۳۰,۱۰,۱۱,۹,۳۶,۳۴,۲+,۴۱,
۸,گسترش,۳۰,۷,۱۷,۶,۲۶,۲۴,۲+,۳۸,
۹,نفت تهران,۳۰,۸,۱۲,۱۰,۳۱,۳۴,۳−,۳۶,
۱۰,فولاد,۳۰,۷,۱۴,۹,۳۰,۳۲,۲−,۳۵,
۱۱,پدیده,۳۰,۸,۱۰,۱۲,۲۸,۳۶,۸−,۳۴,
۱۲,صنعت نفت,۳۰,۸,۹,۱۳,۲۴,۳۴,۱۰−,۳۳,
۱۳,سایپا,۳۰,۷,۱۱,۱۲,۲۰,۳۰,۱۰−,۳۲,
۱۴,سیاه‌جامگان,۳۰,۶,۱۲,۱۲,۲۴,۳۵,۱۱−,۳۰,
۱۵,صبای قم,۳۰,۶,۱۰,۱۴,۲۲,۳۳,۱۱−,۲۸,سقوط به لیگ آزادگان ۹۷–۱۳۹۶
۱۶,ماشین‌سازی,۳۰,۳,۷,۲۰,۱۸,۴۵,۲۷−,۱۶,سقوط به لیگ آزادگان ۹۷–۱۳۹۶
