0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,است,اس.خ,فول,گستر,ماش,سیه,نفت,شهر,پیک,پرس,صبا,سای,صنآ,سپا,تراک,ذوب
استقلال,,۱–۲,۱–۰,۲–۲,۱–۱,۱–۱,۱–۱,۱–۰,۳–۲,۳–۲,۲–۱,۲–۰,۱–۲,۲–۱,۱–۲,۲–۱
استقلال خوزستان,۲–۱,,۰–۱,۰–۰,۱–۰,۰–۰,۲–۲,۲–۱,۲–۳,۱–۱,۱–۰,۰–۰,۱–۰,۱–۱,۰–۱,۱–۱
فولاد,۱–۱,۱–۳,,۲–۲,۱–۲,۰–۰,۴–۲,۱–۰,۱–۲,۰–۳,۲–۰,۲–۲,۳–۰,۱–۱,۰–۰,۰–۲
گسترش فولاد,۱–۱,۲–۱,۰–۰,,۲–۱,۰–۱,۰–۰,۳–۰,۰–۰,۰–۱,۰–۰,۲–۱,۱–۰,۲–۱,۰–۲,۰–۰
ماشین‌سازی,۰–۳,۱–۳,۰–۰,۰–۰,,۰–۱,۰–۲,۰–۲,۱–۴,۰–۲,۰–۰,۳–۳,۱–۰,۰–۱,۰–۲,۱–۲
سیاه‌جامگان,۰–۱,۲–۱,۱–۱,۱–۱,۱–۰,,۲–۲,۱–۱,۱–۲,۱–۰,۲–۲,۰–۲,۰–۱,۱–۱,۱–۲,۲–۱
نفت تهران,۰–۱,۱–۱,۲–۲,۱–۱,۲–۱,۱–۱,,۳–۰,۲–۱,۰–۲,۱–۲,۲–۰,۲–۱,۰–۱,۰–۲,۲–۱
شهرخودرو,۱–۲,۰–۰,۰–۱,۳–۲,۱–۰,۱–۱,۰–۰,,۰–۰,۱–۲,۱–۰,۰–۱,۳–۳,۱–۱,۰–۱,۱–۱
پیکان,۱–۱,۴–۳,۲–۱,۱–۱,۳–۱,۱–۰,۰–۰,۰–۲,,۰–۰,۱–۱,۲–۰,۳–۲,۳–۲,۰–۱,۱–۲
پرسپولیس,۰–۰,۱–۰,۱–۱,۱–۰,۱–۰,۳–۰,۳–۰,۴–۰,۲–۰,,۱–۰,۱–۰,۱–۰,۲–۱,۳–۰,۳–۳
صبای قم,۰–۲,۱–۲,۰–۰,۰–۰,۱–۱,۲–۱,۰–۱,۲–۳,۱–۰,۰–۲,,۱–۰,۰–۰,۰–۱,۳–۰,۱–۱
سایپا,۱–۲,۰–۲,۱–۰,۱–۱,۱–۰,۱–۰,۱–۰,۱–۱,۰–۱,۰–۱,۰–۰,,۰–۲,۱–۱,۰–۰,۰–۰
صنعت نفت,۰–۳,۱–۱,۰–۱,۰–۱,۳–۰,۱–۱,۰–۰,۰–۳,۱–۰,۱–۰,۲–۱,۰–۱,,۱–۰,۰–۰,۰–۳
سپاهان,۱–۱,۳–۱,۱–۱,۱–۰,۰–۳,۲–۱,۲–۱,۰–۱,۱–۱,۱–۳,۴–۱,۳–۱,۰–۰,,۲–۰,۲–۱
تراکتور,۱–۰,۲–۲,۲–۲,۱–۱,۰–۰,۳–۰,۱–۰,۱–۱,۳–۱,۰–۰,۲–۱,۰–۰,۲–۲,۱–۲,,۴–۱
ذوب‌آهن,۰–۲,۲–۰,۱–۰,۱–۱,۲–۱,۱–۰,۱–۱,۲–۰,۳–۰,۱–۰,۰–۱,۱–۱,۱–۱,۲–۰,۱–۲,
