Rank,Player,Club,Goals
1,Mehdi Taremi,Persepolis,16
2,Mohammad Ebrahimi,Gostaresh Foulad,11
3,Omid Ebrahimi,Esteghlal,10
3,Mehrdad Mohammadi,Rah Ahan,10
5,Sasan Ansari,Foolad,9
5,Hassan Beyt Saeed,Esteghlal Khuzestan,9
7,Jaber Ansari,Esteghlal,7
7,Jerry Bengtson,Persepolis,7
7,Mohammad Iranpourian,Tractor Sazi,7
7,Aloys Nong,Tractor Sazi,7
7,Gholamreza Rezaei,Saipa,7
7,Sajjad Shahbazzadeh,Esteghlal,7
7,Morteza Tabrizi,Zob Ahan,7
7,Mohsen Yousefi,Padideh,7
7,Rahim Zohaivi,Esteghlal Khuzestan,7
