Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Est. Khuzestan (C),30,15,12,3,33,14,+19,57,Qualification for the 2017 AFC Champions League group stage
2,Persepolis,30,16,9,5,50,34,+16,57,Qualification for the 2017 AFC Champions League group stage
3,Esteghlal,30,13,13,4,43,28,+15,52,Qualification for the 2017 AFC Champions League qualifying play-offs
4,Tractor Sazi,30,13,12,5,43,27,+16,51,
5,Naft Tehran,30,13,10,7,30,21,+9,49,
6,Zob Ahan,30,11,13,6,38,26,+12,46,Qualification for the 2017 AFC Champions League group stage[a]
7,Saba Qom,30,9,15,6,30,24,+6,42,
8,Saipa,30,11,7,12,28,31,−3,40,
9,Gostaresh,30,10,9,11,36,32,+4,39,
10,Padideh,30,10,9,11,30,35,−5,39,
11,Sepahan,30,8,14,8,29,30,−1,38,
12,Foolad,30,9,8,13,26,37,−11,35,
13,Siah Jamegan,30,7,6,17,23,34,−11,27,
14,Malavan (R),30,5,12,13,23,35,−12,27,Relegation to 2016–17 Azadegan League
15,Rah Ahan (R),30,5,10,15,24,36,−12,25,Relegation to 2016–17 Azadegan League
16,Est. Ahvaz (R),30,2,7,21,16,58,−42,13,Relegation to 2016–17 Azadegan League
