0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,است,جم,شهر,پرس,پیک,تراک,ذوب,سای,سپا,شاه,صنآ,گل‌گ,فول,ماش,نسا,نمس
استقلال,,۲–۰,۱–۰,۰–۱,۱–۱,۰–۰,۲–۱,۱–۱,۲–۱,۴–۱,۵–۰,۲–۱,۱–۱,۱–۲,۱–۱,۲–۱
پارس جم,۰–۲,,۲–۱,۰–۱,۳–۱,۱–۰,۰–۰,۳–۲,۱–۱,۰–۲,۰–۰,۱–۱,۰–۰,۱–۱,۲–۲,۱–۱
شهرخودرو,۲–۲,۱–۰,,۱–۰,۱–۰,۰–۰,۲–۱,۱–۱,۱–۱,۲–۱,۰–۱,۱–۰,۰–۱,۳–۱,۰–۰,۲–۱
پرسپولیس,۲–۲,۱–۰,۳–۱,,۲–۱,۲–۰,۰–۱,۳–۰,۰–۲,۱–۰,۱–۰,۲–۱,۱–۰,۰–۰,۱–۰,۰–۱
پیکان,۲–۲,۰–۰,۰–۲,۱–۳,,۲–۳,۲–۱,۱–۰,۱–۱,۱–۳,۱–۰,۲–۰,۱–۲,۶–۲,۰–۱,۲–۳
تراکتور,۲–۴,۱–۰,۳–۱,۱–۰,۰–۰,,۲–۱,۳–۱,۲–۱,۰–۰,۲–۰,۱–۰,۱–۰,۲–۱,۰–۱,۱–۰
ذوب‌آهن,۲–۲,۱–۰,۰–۱,۰–۳,۱–۴,۰–۰,,۲–۳,۱–۱,۲–۰,۱–۰,۲–۳,۱–۰,۱–۲,۲–۰,۱–۱
سایپا,۰–۴,۱–۱,۰–۰,۰–۲,۰–۰,۰–۱,۳–۱,,۰–۰,۰–۰,۱–۲,۰–۰,۰–۰,۱–۰,۴–۳,۰–۰
سپاهان,۲–۲,۱–۱,۲–۰,۰–۳,۲–۰,۲–۰,۲–۰,۰–۰,,۵–۰,۱–۰,۲–۰,۲–۱,۱–۰,۰–۱,۰–۰
شاهین,۱–۴,۱–۱,۰–۰,۰–۵,۱–۱,۰–۰,۱–۵,۱–۱,۰–۳,,۱–۱,۱–۱,۰–۱,۳–۱,۲–۱,۲–۲
صنعت نفت,۰–۲,۲–۰,۱–۱,۰–۱,۳–۲,۲–۱,۱–۱,۱–۰,۴–۲,۳–۱,,۱–۲,۲–۲,۱–۰,۱–۱,۱–۱
گل‌گهر سیرجان,۱–۰,۱–۱,۰–۱,۳–۳,۰–۰,۱–۱,۰–۰,۱–۱,۰–۲,۴–۲,۰–۱,,۰–۰,۱–۰,۱–۱,۰–۰
فولاد,۲–۱,۱–۰,۲–۰,۰–۱,۰–۰,۱–۰,۲–۱,۰–۰,۰–۰,۱–۰,۰–۱,۲–۰,,۲–۱,۱–۰,۱–۰
ماشین‌سازی,۱–۰,۱–۱,۰–۱,۰–۱,۲–۲,۲–۰,۲–۱,۱–۰,۰–۰,۴–۲,۱–۰,۱–۲,۲–۳,,۰–۳,۰–۰
نساجی,۱–۲,۰–۰,۰–۰,۱–۱,۴–۳,۰–۴,۰–۰,۱–۳,۲–۲,۲–۰,۰–۰,۱–۰,۳–۲,۰–۰,,۰–۰
نفت م.س,۱–۱,۱–۰,۱–۱,۱–۲,۱–۱,۰–۰,۰–۰,۲–۱,۰–۰,۱–۰,۲–۰,۲–۳,۰–۰,۱–۰,۰–۰,
