رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,پرسپولیس,۳۰,۲۱,۴,۵,۴۶,۱۷,۲۹+,۶۷,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۲۱
۲,استقلال,۳۰,۱۴,۱۱,۵,۵۵,۳۱,۲۴+,۵۳,صعود به مرحله پلی‌آف لیگ قهرمانان آسیا ۲۰۲۱
۳,فولاد,۳۰,۱۴,۹,۷,۲۸,۱۹,۹+,۵۱,صعود به مرحله پلی‌آف لیگ قهرمانان آسیا ۲۰۲۱
۴,تراکتور,۳۰,۱۴,۸,۸,۳۱,۲۳,۸+,۵۰,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۲۱
۵,سپاهان,۳۰,۱۲,۱۳,۵,۳۹,۲۲,۱۷+,۴۹,
۶,شهر خودرو,۳۰,۱۲,۱۰,۸,۲۷,۲۵,۲+,۴۶,
۷,صنعت نفت,۳۰,۱۱,۸,۱۱,۲۹,۳۳,۴−,۴۱,
۸,نفت م.س.,۳۰,۷,۱۷,۶,۲۴,۲۲,۲+,۳۸,
۹,نساجی,۳۰,۸,۱۴,۸,۳۰,۳۲,۲−,۳۸,
۱۰,گل‌گهر,۳۰,۷,۱۲,۱۱,۲۷,۳۴,۷−,۳۳,
۱۱,ماشین‌سازی,۳۰,۸,۷,۱۵,۲۸,۴۰,۱۲−,۳۱,
۱۲,ذوب‌آهن,۳۰,۷,۹,۱۴,۳۱,۳۹,۸−,۳۰,
۱۳,پیکان,۳۰,۶,۱۱,۱۳,۳۸,۴۴,۶−,۲۹,
۱۴,سایپا,۳۰,۵,۱۴,۱۱,۲۴,۳۵,۱۱−,۲۹,
۱۵,پارس جم,۳۰,۴,۱۵,۱۱,۲۰,۳۰,۱۰−,۲۷,سقوط به لیگ آزادگان ۱۴۰۰–۱۳۹۹
۱۶,شاهین,۳۰,۴,۱۰,۱۶,۲۶,۵۷,۳۱−,۲۲,سقوط به لیگ آزادگان ۱۴۰۰–۱۳۹۹
