Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Esteghlal (C),34,19,9,6,70,34,+36,66,Qualification for the 2010 AFC Champions League
2,Zob Ahan,34,19,9,6,58,42,+16,66,Qualification for the 2010 AFC Champions League
3,Mes,34,17,10,7,54,36,+18,61,Qualification for the 2010 AFC Champions League
4,Sepahan,34,14,14,6,46,34,+12,56,Qualification for the 2010 AFC Champions League
5,Persepolis,34,15,10,9,50,41,+9,55,
6,Saba,34,12,17,5,49,36,+13,53,
7,Foolad,34,13,11,10,50,41,+9,50,
8,Paykan,34,13,8,13,43,42,+1,47,
9,Fajr,34,11,11,12,33,37,−4,44,
10,Saipa,34,10,12,12,43,50,−7,42,
11,Rah Ahan,34,11,8,15,35,41,−6,41,
12,Pas Hamedan,34,10,10,14,40,47,−7,40,
13,Malavan,34,9,13,12,31,43,−12,40,
14,Est. Ahvaz,34,11,6,17,37,54,−17,39,
15,Aboumoslem,34,8,11,15,34,41,−7,35,
16,Payam (R),34,9,8,17,33,52,−19,35,Relegation to the 2009–10 Azadegan League
17,Damash (R),34,6,13,15,40,56,−16,31,Relegation to the 2009–10 Azadegan League
18,Bargh (R),34,5,9,20,35,54,−19,24,Relegation to the 2009–10 Azadegan League
