#,تیم,بازی,برد,مساوی,باخت,گلِ‌زده,گلِ‌خورده,تفاضل,امتیاز,توضیحات
۱,پرسپولیس,۲۶,۱۵,۹,۲,۴۵,۲۳,۲۲,۵۴,صعود به جام باشگاه‌های آسیا ۰۱–۲۰۰۰
۲,استقلال,۲۶,۱۲,۱۱,۳,۳۲,۱۶,۱۶,۴۷,صعود به جام برندگان جام آسیا ۰۱–۲۰۰۰
۳,فجرسپاسی,۲۶,۱۱,۱۱,۴,۳۷,۱۸,۱۹,۴۴,
۴,سپاهان,۲۶,۱۱,۹,۶,۲۸,۱۹,۹,۴۲,
۵,ذوب آهن,۲۶,۱۱,۶,۹,۳۵,۲۹,۶,۳۹,
۶,تراکتورسازی,۲۶,۱۰,۸,۸,۳۰,۲۶,۴,۳۸,
۷,پاس تهران,۲۶,۹,۸,۹,۳۵,۳۱,۴,۳۵,
۸,بهمن,۲۶,۸,۱۰,۸,۲۴,۲۶,۲-,۳۴,
۹,سایپا,۲۶,۶,۱۳,۷,۲۴,۲۱,۳,۳۱,
۱۰,فولاد,۲۶,۷,۸,۱۱,۳۰,۳۳,۳-,۲۹,
۱۱,ابومسلم,۲۶,۷,۷,۱۲,۳۲,۳۹,۷-,۲۸,
۱۲,صنعت نفت آبادان,۲۶,۶,۹,۱۱,۲۹,۳۵,۶-,۲۷,
۱۳,چوکا تالش,۲۶,۴,۹,۱۳,۲۲,۴۵,۲۳-,۲۱,
۱۴,ایرسوتر نوشهر,۲۶,۳,۶,۱۷,۲۲,۶۴,۴۲-,۱۵,
