Rank,Player,Club,Goals
1,Cheick Diabaté,Esteghlal,15
2,Shahriar Moghanlou,Paykan,13
3,Ali Alipour,Persepolis,12
3,Issa Alekasir,Sanat Naft,12
5,Mehdi Torabi,Persepolis,11
6,Mehdi Ghaedi,Esteghlal,10
6,Amir Arsalan Motahari,Zob Ahan / Esteghlal,10
8,Younes Shakeri,Shahr Khodro / Gol Gohar,9
9,Faraz Emamali,Paykan,8
9,Hossein Maleki,Shahin Bushehr,8
9,Mohammad Nouri,Pars Jonoubi,8
9,Ahmad Reza Zendehrouh,Gol Gohar,8
