Rank,Player,Club,Goals
1,Karim Ansarifard,Tractor Sazi,14.0
2,Reza Enayati,Saba Qom,13.0
3,Mehrdad Bayrami,Gostaresh,12.0
4,Mehdi Daghagheleh,Malavan,11.0
4,Reza Norouzi,Naft Tehran,11.0
5,Chimba,Foolad,9.0
5,Jalal Rafkhaei,Malavan,9.0
5,Mehdi Rajabzadeh,Zob Ahan,9.0
5,Sajjad Shahbazzadeh,Saipa,9.0
8,Edinho,Mes Kerman,8.0
8,Amin Motevaselzadeh,Damash Gilan,8.0
8,Mehdi Sharifi,Sepahan,8.0
10,Mohammad Ghazi,Esteghlal,7.0
10,Farid Karimi,Saba Qom,7.0
Total goals (Including technical loses),Total goals (Including technical loses),Total goals (Including technical loses),504.0
Total games,Total games,Total games,239.0
Average per game,Average per game,Average per game,2.11
