Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Foolad (C),30,16,9,5,36,24,+12,57,Qualification for the 2015 AFC Champions League group stage
2,Persepolis,30,16,8,6,34,15,+19,55[a],Qualification for the 2015 AFC Champions League group stage
3,Naft Tehran,30,15,9,6,39,23,+16,54,Qualification for the 2015 AFC Champions League qualifying play-off
4,Sepahan,30,14,12,4,36,20,+16,54,
5,Esteghlal,30,15,9,6,34,25,+9,53[a],
6,Tractor Sazi,30,11,13,6,39,33,+6,45[a],Qualification for the 2015 AFC Champions League group stage[b]
7,Malavan,30,13,6,11,40,33,+7,44[a],
8,Saipa,30,7,14,9,26,31,−5,35,
9,Saba Qom,30,8,9,13,32,38,−6,33,
10,Gostaresh,30,7,11,12,31,34,−3,32,
11,Rah Ahan,30,7,10,13,25,34,−9,31,
12,Est. Khuzestan,30,6,11,13,26,37,−11,29,
13,Zob Ahan,30,6,11,13,24,36,−12,29,
14,Fajr Sepasi (R),30,6,11,13,20,34,−14,29,Qualification to relegation play-offs
15,Damash (R),30,5,12,13,30,40,−10,26[a],Relegation to 2014–15 Azadegan League
16,Mes Kerman (R),30,1,19,10,21,36,−15,22,Relegation to 2014–15 Azadegan League
