0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,است,پرس,سپا,گل‌گ,فول,مس.ر,ذوب,آ.اراک,پیک,صنآ,هوا,نسا,تراک,نمس,فجر,شهر
استقلال,,۰–۰,۱–۰,۲–۱,۱–۰,۳–۲,۱–۰,۰–۰,۰–۰,۱–۰,۱–۰,۰–۰,۱–۰,۰–۰,۱–۰,۱–۰
پرسپولیس,۱–۱,,۱–۲,۱–۱,۱–۰,۳–۱,۲–۰,۲–۰,۲–۰,۱–۰,۲–۲,۲–۱,۲–۱,۱–۰,۱–۰,۲–۱
سپاهان,۱–۱,۰–۱,,۰–۰,۲–۱,۲–۰,۰–۰,۱–۱,۱–۲,۱–۰,۱–۰,۲–۰,۰–۰,۴–۱,۲–۰,۰–۰
گل‌گهر سیرجان,۰–۳,۱–۱,۰–۳,,۰–۱,۲–۲,۳–۲,۲–۰,۰–۰,۲–۱,۱–۰,۱–۱,۴–۱,۲–۰,۲–۰,۳–۳
فولاد,۱–۲,۱–۳,۳–۰,۱–۱,,۲–۱,۱–۲,۱–۰,۱–۱,۰–۰,۱–۰,۱–۱,۰–۰,۲–۰,۱–۰,۲–۰
مس رفسنجان,۰–۲,۱–۱,۳–۱,۱–۲,۱–۱,,۰–۱,۰–۰,۰–۰,۳–۰,۱–۰,۱–۲,۳–۲,۰–۰,۲–۱,۳–۰
ذوب‌آهن,۰–۲,۱–۱,۱–۰,۰–۰,۰–۱,۰–۳,,۴–۰,۰–۲,۰–۱,۰–۱,۰–۰,۰–۰,۰–۱,۲–۰,۲–۱
آلومینیوم اراک,۱–۱,۱–۰,۰–۰,۰–۰,۳–۰,۰–۱,۰–۰,,۱–۱,۲–۱,۰–۱,۰–۰,۱–۰,۲–۱,۱–۰,۲–۲
پیکان,۰–۳,۱–۳,۰–۱,۰–۱,۱–۲,۱–۱,۱–۰,۱–۱,,۱–۰,۱–۲,۰–۱,۰–۰,۰–۰,۰–۱,۱–۱
صنعت نفت,۱–۱,۲–۰,۲–۴,۰–۰,۰–۱,۰–۲,۰–۱,۳–۱,۰–۰,,۳–۰,۱–۱,۱–۰,۲–۰,۰–۲,۱–۰
هوادار,۱–۲,۰–۰,۰–۰,۰–۲,۰–۰,۱–۱,۱–۰,۰–۰,۰–۲,۱–۲,,۰–۰,۱–۰,۰–۰,۱–۰,۲–۰
نساجی,۰–۰,۱–۳,۱–۳,۱–۲,۰–۲,۰–۲,۱–۰,۱–۱,۲–۲,۰–۲,۲–۱,,۰–۳,۱–۱,۱–۰,۲–۰
تراکتور,۰–۱,۰–۳,۲–۲,۰–۰,۱–۲,۱–۰,۰–۱,۰–۲,۱–۲,۳–۰,۳–۲,۱–۱,,۲–۰,۱–۰,۲–۱
نفت م.س,۰–۳,۱–۲,۰–۳,۰–۲,۰–۰,۰–۱,۱–۱,۹–۰,۱–۲,۲–۲,۰–۰,۱–۱,۱–۱,,۰–۱,۲–۰
فجر سپاسی,۱–۱,۰–۱,۰–۲,۰–۱,۱–۱,۰–۰,۰–۱,۰–۰,۱–۱,۱–۱,۰–۰,۱–۱,۱–۱,۰–۰,,۰–۱
شهرخودرو,۰–۳,۱–۱,۰–۲,۱–۲,۰–۰,۱–۳,۱–۲,۰–۰,۱–۱,۱–۱,۰–۱,۱–۱,۰–۰,۰–۱,۰–۰,
