#,داوران,تعداد قضاوت,کارت قرمز
۱,پیام حیدری,۱۱,۳
۲,موعود بنیادی‌فر,۱۱,۲
۳,رضا مهدوی,۱۰,۶
۴,امیر عرب‌براقی,۱۰,۳
۵,بیژن حیدری,۱۰,۱
۶,حسن اکرمی,۱۰,۱
۷,مرتضی منصوریان,۱۰,۱
۸,علی صفایی,۱۰,۰
۹,علی‌اصغر مومنی,۹,۳
۱۰,کوپال ناظمی,۹,۰
۱۱,احمد محمدی,۸,۱
۱۲,حمید حاج‌ملک,۷,۴
۱۳,میثم حیدری,۷,۱
۱۴,یاسر همرنگ,۷,۱
۱۵,کمیل غلامی,۷,۱
۱۶,روح‌اله شریفی,۷,۱
۱۷,محمدحسین ترابیان,۷,۰
۱۸,امیر سامان سلطانی,۷,۰
۱۹,رضا عادل,۶,۲
۲۰,محمدحسین زاهدی‌فرد,۶,۱
۲۱,مهدی سیدعلی,۶,۰
