Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis (C),30,16,13,1,36,14,+22,61,Qualification for 2020 AFC Champions League group stage
2,Sepahan,30,15,13,2,46,20,+26,58,Qualification for 2020 AFC Champions League group stage
3,Esteghlal,30,16,9,5,40,13,+27,57,Qualification for 2020 AFC Champions League Qualifying play-offs
4,Padideh,30,16,8,6,32,16,+16,56,Qualification for 2020 AFC Champions League Qualifying play-offs
5,Tractor Sazi,30,14,10,6,42,25,+17,52,
6,Zob Ahan,30,9,13,8,28,28,0,40,
7,Saipa,30,9,11,10,28,33,−5,38,
8,Foolad,30,9,11,10,30,39,−9,38,
9,Sanat Naft,30,7,16,7,31,30,+1,37,
10,Nassaji Mazandaran,30,7,15,8,29,29,0,36,
11,Paykan,30,9,8,13,27,35,−8,35,
12,Pars Jonoubi Jam,30,7,9,14,28,33,−5,30,
13,Machine Sazi,30,4,17,9,19,26,−7,29,
14,Naft Masjed Soleyman,30,3,13,14,16,34,−18,22,
15,Sepidrood (R),30,3,11,16,24,53,−29,20,Relegation to 2019–20 Azadegan League
16,Esteghlal Khuzestan (R),30,3,9,18,19,47,−28,12[a],Relegation to 2019–20 Azadegan League
