رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,پرسپولیس (ق),۳۰,۱۹,۱۰,۱,۴۷,۱۴,۳۳+,۶۷,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۲۲
۲,سپاهان,۳۰,۱۹,۸,۳,۵۳,۲۴,۲۹+,۶۵,صعود به مرحله پلی‌آف لیگ قهرمانان آسیا ۲۰۲۲
۳,استقلال,۳۰,۱۶,۸,۶,۳۶,۱۹,۱۷+,۵۶,صعود به مرحله پلی‌آف لیگ قهرمانان آسیا ۲۰۲۲
۴,تراکتور,۳۰,۱۲,۹,۹,۳۵,۲۹,۶+,۴۵,
۵,گل‌گهر,۳۰,۱۳,۶,۱۱,۳۳,۳۲,۱+,۴۵,
۶,فولاد,۳۰,۱۰,۱۴,۶,۲۷,۱۸,۹+,۴۴,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۲۲
۷,پیکان,۳۰,۹,۱۳,۸,۳۲,۳۰,۲+,۴۰,
۸,مس رفسنجان,۳۰,۱۰,۹,۱۱,۲۳,۲۹,۶−,۳۹,
۹,پدیده,۳۰,۱۰,۸,۱۲,۲۷,۳۱,۴−,۳۸,
۱۰,صنعت نفت,۳۰,۹,۱۰,۱۱,۲۴,۲۹,۵−,۳۷,
۱۱,آلومینیوم اراک,۳۰,۸,۱۳,۹,۲۵,۳۳,۸−,۳۷,
۱۲,نساجی,۳۰,۹,۶,۱۵,۲۷,۳۴,۷−,۳۳,
۱۳,نفت م. س,۳۰,۷,۱۰,۱۳,۲۱,۲۹,۸−,۳۱,
۱۴,ذوب‌آهن,۳۰,۵,۱۱,۱۴,۲۸,۳۹,۱۱−,۲۶,
۱۵,سایپا (س),۳۰,۵,۱۱,۱۴,۱۹,۳۴,۱۵−,۲۶,سقوط به لیگ آزادگان ۱۴۰۱–۱۴۰۰
۱۶,ماشین‌سازی (س),۳۰,۲,۸,۲۰,۱۹,۵۲,۳۳−,۱۴,سقوط به لیگ آزادگان ۱۴۰۱–۱۴۰۰
