0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,است,آ.اراک,شهر,پرس,پیک,تراک,ذوب,سای,سپا,مس.ر,صنآ,گل‌گ,فول,ماش,نسا,نمس
استقلال,,۲–۰,۲–۰,۲–۲,۰–۰,۲–۱,۰–۲,۰–۱,۱–۲,۲–۰,۱–۱,۲–۰,۱–۰,۱–۰,۱–۰,۱–۰
آلومینیوم اراک,۰–۰,,۱–۰,۲–۱,۱–۱,۱–۳,۲–۲,۱–۱,۱–۶,۰–۰,۱–۰,۰–۰,۰–۰,۴–۱,۰–۳,۰–۱
شهرخودرو,۰–۲,۲–۲,,۱–۱,۲–۰,۲–۱,۱–۱,۱–۰,۰–۱,۰–۱,۰–۰,۱–۰,۰–۰,۳–۰,۱–۰,۱–۰
پرسپولیس,۱–۰,۲–۰,۳–۰,,۱–۰,۳–۱,۱–۱,۱–۰,۰–۰,۱–۰,۱–۰,۳–۱,۲–۱,۲–۱,۲–۰,۲–۱
پیکان,۰–۰,۰–۰,۱–۰,۰–۲,,۱–۱,۱–۰,۱–۱,۱–۱,۲–۳,۲–۰,۰–۲,۱–۱,۲–۲,۲–۱,۱–۱
تراکتور,۱–۳,۰–۱,۰–۰,۰–۱,۳–۱,,۱–۰,۵–۱,۰–۱,۰–۰,۱–۱,۱–۰,۰–۰,۲–۰,۲–۱,۰–۰
ذوب‌آهن,۰–۰,۱–۱,۰–۲,۱–۲,۱–۱,۱–۲,,۱–۱,۱–۳,۰–۱,۱–۰,۱–۱,۲–۲,۲–۰,۱–۲,۰–۰
سایپا,۰–۲,۱–۰,۱–۲,۰–۰,۱–۲,۱–۲,۲–۱,,۰–۱,۰–۰,۱–۱,۰–۱,۲–۱,۰–۰,۱–۰,۰–۰
سپاهان,۲–۰,۱–۰,۱–۳,۱–۱,۲–۱,۲–۰,۲–۰,۱–۱,,۵–۱,۴–۱,۱–۰,۱–۱,۱–۰,۴–۰,۰–۰
مس رفسنجان,۱–۱,۰–۱,۲–۱,۰–۱,۱–۱,۰–۱,۳–۱,۱–۰,۱–۲,,۰–۰,۰–۲,۲–۱,۱–۰,۰–۱,۲–۰
صنعت نفت,۰–۱,۰–۱,۰–۰,۰–۰,۲–۱,۲–۱,۱–۰,۱–۰,۱–۲,۱–۱,,۲–۱,۱–۱,۲–۱,۱–۱,۲–۰
گل‌گهر سیرجان,۱–۲,۲–۱,۳–۱,۰–۵,۱–۲,۱–۲,۱–۰,۱–۰,۳–۱,۰–۰,۱–۰,,۱–۱,۳–۱,۲–۲,۰–۰
فولاد,۲–۱,۰–۰,۲–۰,۰–۰,۰–۰,۱–۱,۱–۰,۳–۰,۰–۰,۱–۱,۲–۰,۱–۰,,۱–۰,۱–۰,۲–۰
ماشین‌سازی,۰–۲,۱–۱,۱–۱,۰–۵,۰–۵,۰–۲,۱–۱,۲–۲,۳–۳,۳–۰,۱–۰,۰–۱,۰–۱,,۰–۲,۰–۱
نساجی,۱–۳,۱–۱,۱–۰,۱–۱,۰–۱,۱–۱,۲–۳,۱–۰,۰–۱,۰–۱,۰–۱,۱–۲,۱–۰,۱–۱,,۱–۰
نفت م.س,۱–۱,۱–۲,۳–۱,۰–۰,۰–۱,۱–۱,۲–۳,۱–۱,۳–۱,۱–۰,۱–۲,۱–۲,۱–۰,۱–۰,۰–۲,
