#,داوران,تعداد قضاوت,کارت قرمز
۱,موعود بنیادی‌فر,۸,۲
۲,پیام حیدری,۸,۱
۳,علی صفایی,۸,۱
۴,رضا کرمانشاهی,۸,۰
۵,بیژن حیدری,۷,۳
۶,اشکان خورشیدی,۷,۲
۷,محمدحسین زاهدی‌فر,۷,۱
۸,محمدرضا اکبریان,۷,۱
۹,مهدی سیدعلی,۷,۱
۱۰,کوپال ناظمی,۶,۲
۱۱,حسن اکرمی,۶,۱
۱۲,رضا عادل,۶,۰
۱۳,وحید کاظمی,۶,۰
۱۴,حمید حاج‌ملک,۵,۱
۱۵,مرتضی منصوریان,۵,۱
۱۶,علی‌اصغر مؤمنی,۵,۰
۱۷,رضا مهدوی,۶,۰
۱۸,کمیل غلامی,۵,۰
۱۹,امیر عرب‌براقی,۵,۰
۲۰,عبدالنبی پورخلف,۴,۲
