Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Esteghlal (C),28,16,10,2,46,21,+25,58,Qualification for the 1998–99 Asian Club Championship
2,PAS,28,13,13,2,32,20,+12,52,Qualification for the 1998–99 Asian Cup Winners' Cup
3,Zob Ahan,28,11,12,5,31,30,+1,45,
4,Fajr Sepasi,28,10,10,8,37,27,+10,40,
5,Sh. Tabriz,28,10,9,9,37,29,+8,39,
6,Sepahan,28,9,10,9,24,25,−1,37,
7,Saipa,28,7,14,7,26,26,0,35,
8,Polyacryl,28,8,11,9,28,29,−1,35,
9,Tractor Sazi,28,9,8,11,32,38,−6,35,
10,Foolad,28,10,5,13,29,45,−16,35,
11,Sanat Naft,28,8,10,10,30,30,0,34,
12,Bahman (R),28,7,11,10,31,34,−3,32,Relegation to the 1998–99 Iran 2nd Division
13,Esteghlal Ahvaz (R),28,6,12,10,31,41,−10,30,Relegation to the 1998–99 Iran 2nd Division
14,Payam Mashhad (R),28,5,11,12,24,35,−11,26,Relegation to the 1998–99 Iran 2nd Division
15,Bargh Shiraz (R),28,3,10,15,19,39,−20,19,Relegation to the 1998–99 Iran 2nd Division
16,Persepolis (W),0,0,0,0,0,0,0,0,Withdrew
