مکان,بازیکن,باشگاه,گل‌ها
۱,لوسیانو ادینهو,تراکتورسازی,۲۰
۲,مهدی شریفی,سپاهان,۱۲
۲,سجاد شهباززاده,استقلال,۱۲
۳,لوسیانو پریرا,سپاهان,۱۱
۴,رضا عنایتی,استقلال,۹
۴,جابر انصاری,گسترش فولاد,۹
۴,مسعود حسن‌زاده,ذوب‌آهن,۹
۴,امید ابراهیمی,استقلال,۹
۴,محمدرضا خلعتبری,سپاهان,۹
۴,سامان نریمان جهان,تراکتورسازی,۹
۵,رامین رضاییان,راه‌آهن,۸
۵,آلویس نانگ,فولاد,۸
۵,امیرارسلان مطهری,نفت تهران,۸
