0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ميزبان / ميهمان۱,استقلال,اس.خ,فول,گست,ملو,نفت.م.س,نفت,پدیده,پیک,پرس,راه,صبا,سای,سپا,ترا,ذوب
استقلال,,۱–۰,۰–۱,۳–۰,۳–۱,۱–۰,۰–۱,۰–۰,۱–۰,۱–۲,۱–۰,۱–۱,۳–۲,۲–۱,۱–۴,۱–۱
استقلال خوزستان,۴–۴,,۰–۳,۱–۱,۱–۳,۰–۰,۱–۲,۱–۱,۱–۱,۱–۱,۱–۰,۲–۰,۲–۰,۱–۳,۲–۲,۱–۱
فولاد,۲–۱,۱–۰,,۱–۰,۱–۰,۳–۲,۲–۲,۰–۰,۰–۰,۲–۰,۲–۰,۰–۱,۰–۰,۰–۱,۳–۲,۰–۲
گسترش فولاد,۰–۰,۲–۲,۳–۱,,۳–۲,۰–۰,۱–۱,۰–۱,۱–۰,۲–۱,۲–۰,۰–۰,۲–۳,۰–۲,۱–۳,۳–۲
ملوان,۱–۱,۱–۱,۰–۰,۱–۱,,۱–۰,۱–۱,۲–۲,۱–۱,۲–۱,۳–۰,۰–۰,۰–۲,۱–۰,۰–۰,۱–۳
نفت مسجدسلیمان,۰–۲,۰–۰,۲–۱,۱–۱,۳–۲,,۰–۲,۰–۳,۰–۰,۲–۲,۱–۱,۱–۰,۰–۱,۱–۳,۱–۲,۱–۱
نفت تهران,۲–۰,۱–۱,۰–۱,۲–۱,۲–۰,۱–۰,,۱–۰,۰–۰,۲–۱,۱–۲,۱–۰,۳–۱,۳–۰,۲–۱,۰–۰
شهرخودرو,۱–۱,۱–۱,۰–۰,۲–۱,۰–۰,۱–۱,۱–۲,,۱–۲,۰–۱,۳–۰,۱–۱,۰–۰,۰–۱,۱–۰,۰–۰
پیکان,۰–۳,۱–۱,۱–۰,۱–۱,۱–۰,۰–۰,۱–۱,۰–۰,,۰–۱,۲–۳,۰–۱,۰–۰,۱–۲,۰–۲,۱–۳
پرسپولیس,۱–۰,۲–۱,۱–۲,۲–۲,۰–۱,۱–۱,۱–۱,۱–۱,۱–۰,,۲–۲,۰–۰,۰–۱,۱–۲,۱–۳,۱–۰
راه‌آهن,۱–۲,۲–۲,۰–۱,۱–۰,۱–۰,۲–۲,۰–۱,۱–۰,۰–۰,۱–۲,,۲–۲,۲–۱,۱–۰,۰–۳,۰–۳
صبای قم,۱–۲,۱–۲,۰–۲,۱–۰,۱–۱,۲–۰,۱–۲,۰–۰,۰–۰,۰–۲,۱–۰,,۱–۰,۲–۰,۲–۳,۲–۱
سایپا,۰–۱,۳–۲,۳–۱,۰–۰,۱–۰,۰–۰,۲–۱,۴–۰,۱–۱,۲–۲,۱–۲,۳–۰,,۲–۲,۰–۱,۱–۰
سپاهان,۳–۱,۳–۲,۱–۱,۴–۱,۱–۱,۱–۰,۱–۱,۱–۰,۲–۰,۱–۰,۳–۰,۱–۱,۲–۰,,۲–۱,۱–۱
تراکتور,۲–۲,۳–۰,۲–۱,۱–۱,۱–۰,۳–۰,۳–۳,۱–۳,۱–۲,۱–۰,۴–۱,۴–۲,۲–۱,۱–۱,,۲–۱
ذوب‌آهن,۲–۱,۲–۱,۰–۱,۰–۰,۲–۰,۲–۰,۵–۳,۲–۰,۱–۰,۱–۰,۲–۲,۳–۱,۴–۱,۱–۱,۰–۰,
