Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis (C),30,17,8,5,52,24,+28,59,Qualification for the 1997–98 Asian Club Championship
2,Bahman,30,15,8,7,49,32,+17,53,
3,Sepahan,30,14,8,8,37,29,+8,50,
4,PAS Tehran,30,11,15,4,37,22,+15,48,
5,Sanat Naft,30,11,9,10,37,38,−1,42,
6,Esteghlal,30,11,8,11,42,39,+3,41,
7,Payam Mashhad,30,9,13,8,37,37,0,40,
8,Bargh Shiraz,30,11,6,13,26,27,−1,39,Qualification for the 1997–98 Asian Cup Winners Cup
9,Est. Ahvaz,30,8,14,8,40,38,+2,38,
10,Zob Ahan,30,7,16,7,30,28,+2,37,
11,Tractor Sazi,30,8,13,9,28,29,−1,37,
12,Polyacryl,30,9,10,11,30,34,−4,37,
13,Machine Sazi (R),30,10,5,15,30,52,−22,35,Relegation to 1997–98 Iran 2nd Division
14,Malavan (R),30,8,9,13,32,41,−9,33,Relegation to 1997–98 Iran 2nd Division
15,Shamoushak (R),30,8,8,14,34,52,−18,32,Relegation to 1997–98 Iran 2nd Division
16,Keshavarz (R),30,3,10,17,19,41,−22,19,Relegation to 1997–98 Iran 2nd Division
