#,تیم,بازی,برد,مساوی,باخت,گلِ‌زده,گلِ‌خورده,امتیاز,توضیحات
۱,پرسپولیس,۳۰,۱۵,۱۲,۳,۳۳,۱۸,۵۷,صعود به جام باشگاه‌های آسیا ۹۷–۱۹۹۶
۲,بهمن کرج,۳۰,۱۳,۱۲,۵,۴۷,۲۴,۵۱,
۳,استقلال تهران,۳۰,۱۴,۹,۷,۴۱,۲۶,۵۱,صعود به جام برندگان جام آسیا ۹۷-۱۹۹۶
۴,پاس تهران,۳۰,۱۳,۶,۱۱,۳۳,۳۵,۴۵,
۵,سپاهان,۳۰,۱۱,۹,۱۰,۴۰,۳۶,۴۲,
۶,برق شیراز,۳۰,۱۱,۹,۱۰,۳۲,۲۶,۴۲,
۷,استقلال اهواز,۳۰,۱۲,۵,۱۳,۴۰,۴۱,۴۱,
۸,ماشین‌سازی تبریز,۳۰,۱۱,۸,۱۱,۳۵,۳۸,۴۱,
۹,کشاورز تهران,۳۰,۹,۱۳,۸,۳۲,۲۵,۴۰,
۱۰,پلی اکریل اصفهان,۳۰,۱۰,۸,۱۲,۳۳,۳۹,۳۸,
۱۱,شموشک نوشهر,۳۰,۱۰,۸,۱۲,۲۸,۳۸,۳۸,
۱۲,ملوان انزلی,۳۰,۹,۱۰,۱۱,۲۱,۲۵,۳۷,
۱۳,جنوب اهواز,۳۰,۹,۹,۱۲,۲۶,۳۹,۳۶,
۱۴,آرارات تهران,۳۰,۸,۷,۱۵,۲۷,۳۹,۳۱,
۱۵,شهرداری تبریز,۳۰,۶,۱۰,۱۴,۲۴,۳۴,۲۸,
۱۶,سایپا,۳۰,۵,۱۳,۱۲,۳۱,۴۲,۲۸,
