رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,فولاد,۳۰,۱۹,۷,۴,۴۱,۲۰,۲۱+,۶۴,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۶
۲,ذوب‌آهن,۳۰,۱۷,۷,۶,۳۸,۱۹,۱۹+,۵۸,
۳,استقلال,۳۰,۱۶,۱۰,۴,۵۱,۳۵,۱۶+,۵۸,
۴,پرسپولیس,۳۰,۱۶,۷,۷,۴۳,۲۷,۱۶+,۵۵,
۵,استقلال اهواز,۳۰,۱۲,۸,۱۰,۴۱,۳۵,۶+,۴۴,
۶,پاس,۳۰,۱۱,۹,۱۰,۴۹,۴۰,۹+,۴۲,
۷,ملوان,۳۰,۱۰,۱۱,۹,۳۴,۲۷,۷+,۴۱,
۸,ابومسلم,۳۰,۹,۱۱,۱۰,۳۳,۳۳,۰,۳۸,
۹,صبا,۳۰,۸,۱۱,۱۱,۳۸,۴۰,۲−,۳۵,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۰۶۱
۱۰,سپاهان,۳۰,۷,۱۴,۹,۳۰,۳۳,۳−,۳۵,
۱۱,فجر سپاسی,۳۰,۹,۸,۱۳,۲۴,۳۲,۸−,۳۵,
۱۲,برق شیراز,۳۰,۷,۱۲,۱۱,۳۴,۴۳,۹−,۳۳,
۱۳,سایپا,۳۰,۷,۱۰,۱۳,۲۴,۳۴,۱۰−,۳۱,
۱۴,شموشک,۳۰,۸,۷,۱۵,۲۶,۴۹,۲۳−,۳۱,
۱۵,پیکان,۳۰,۵,۹,۱۶,۲۲,۳۴,۱۲−,۲۴,سقوط به لیگ آزادگان ۸۵–۱۳۸۴
۱۶,پگاه,۳۰,۳,۱۱,۱۶,۱۷,۴۵,۲۸−,۲۰,سقوط به لیگ آزادگان ۸۵–۱۳۸۴
