نام بازیکن,Unnamed: 1,تیم
رضا عنایتی,۲۰,استقلال
رسول خطیبی,۱۴,سپاهان
فریدون فضلی,۱۴,ابومسلم
ایمان مبعلی,۱۲,فولاد
علی دایی,۱۱,صبا باتری
جواد کاظمیان,۹,پرسپولیس
ایمان رزاقی‌راد,۹,پاس
جواد نکونام,۹,پاس
آرش برهانی,۹,پاس
حجت زادمحمود,۸,استقلال اهواز
مهدی رجب زاده,۸,ذوب آهن
سهراب انتظاری,۸,پرسپولیس
مهرداد اولادی,۸,پرسپولیس
