Rank,Player,Club,Goals
1,Mehdi Taremi,Persepolis,18
2,Sasan Ansari,Foolad,16
3,Godwin Mensha,Paykan,15
4,Mohammad Ghazi,Naft Tehran,12
5,Hassan Beyt Saeed,Esteghlal Khuzestan,10
5,Luciano Pereira,Gostaresh Foolad,10
5,Morteza Tabrizi,Zob Ahan,10
8,Mehdi Rajabzadeh,Zob Ahan,9
9,Jerry Bengtson,Zob Ahan,8
9,Masoud Hassanzadeh,Sepahan,8
