Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis (C),30,20,6,4,46,14,+32,66,Qualification for the 2018 AFC Champions League group stage
2,Esteghlal,30,16,9,5,45,27,+18,57,Qualification for the 2018 AFC Champions League group stage
3,Tractor Sazi,30,15,11,4,38,24,+14,56,Qualification for the 2018 AFC Champions League group stage
4,Zob Ahan,30,12,10,8,39,30,+9,46,Qualification for the 2018 AFC Champions League qualifying play-offs
5,Sepahan,30,12,9,9,38,34,+4,45,
6,Paykan,30,12,8,10,39,38,+1,44,
7,Est. Khuzestan,30,10,11,9,36,34,+2,41,
8,Gostaresh,30,7,17,6,26,24,+2,38,
9,Naft Tehran,30,8,12,10,31,34,−3,36,
10,Foolad,30,7,14,9,30,32,−2,35,
11,Padideh,30,8,10,12,28,36,−8,34,
12,Sanat Naft,30,8,9,13,24,34,−10,33,
13,Saipa,30,7,11,12,20,30,−10,32,
14,Siah Jamegan,30,6,12,12,24,35,−11,30,
15,Saba Qom (R),30,6,10,14,22,33,−11,28,Relegation to the 2017–18 Azadegan League
16,Machine Sazi (R),30,3,7,20,18,45,−27,16,Relegation to the 2017–18 Azadegan League
