Rank,Player,Club,Goals
1,Reza Enayati,Esteghlal,21
2,Fereydoon Fazli,Esteghlsl Ahvaz,17
3,Mehdi Rajabzadeh,Zob Ahan,14
4,Siavash Akbarpour,Esteghlal,11
4,Ali Daei,Saba Battery,11
4,Javad Kazemian,Persepolis,11
7,Hossein Badamaki,Aboomoslem,10
7,Rasoul Khatibi,Sepahan,10
9,Ali Ansarian,Persepolis,9
10,Hadi Asghari,Rah Ahan,8
10,Sohrab Bakhtiarizadeh,Saba Battery,8
10,Arash Borhani,PAS Tehran,8
10,Mohammad Gholamin,Malavan,8
10,Emad Reza,Foolad,8
