Rank,Player,Club,Goals
1,Sajjad Shahbazzadeh,Sepahan,20
2,Godwin Mensha,Gol Gohar,14
3,Mohammad Abbaszadeh,Tractor,12
4,Amin Ghaseminejad,Padideh,11
5,Hamed Pakdel,Aluminium Arak,10
5,Ahmad Nourollahi,Persepolis,10
7,Mehdi Abdi,Persepolis,9
7,Taleb Reykani,Sanat Naft,9
9,Younes Shakeri,Gol Gohar,8
10,Sasan Hosseini,Naft MIS,7
10,Amir Arsalan Motahari,Esteghlal,7
