Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Pas (C),26,15,8,3,48,29,+19,53,Qualification for the 2005 AFC Champions League
2,Esteghlal,26,14,9,3,46,31,+15,51,
3,Foolad,26,13,8,5,37,22,+15,47,
4,Zob Ahan,26,11,7,8,32,25,+7,40,
5,Persepolis,26,10,9,7,42,28,+14,39,
6,Sepahan,26,11,6,9,47,36,+11,39,Qualification for the 2005 AFC Champions League
7,Paykan,26,8,8,10,24,26,−2,32,
8,Est. Ahvaz,26,7,10,9,35,43,−8,31,
9,Pegah,26,8,6,12,27,42,−15,30,
10,Aboumoslem,26,6,11,9,25,26,−1,29,
11,Fajr,26,6,11,9,27,35,−8,29,
12,Bargh,26,5,9,12,27,47,−20,24,
13,Saipa (O),26,3,12,11,23,36,−13,21,Relegation to the play-offs
14,Shamoushak (O),26,4,8,14,19,33,−14,20,Relegation to the play-offs
