Rank,Player,Club,Goals
1,Shahriyar Moghanlou,Sepahan,16
2,Reza Asadi,Sepahan,10
2,Rahman Jafari,Shams Azar / Tractor,10
4,Javad Aghaeipour,Esteghlal Khuzestan,9
4,Issa Alekasir,Sepahan / Persepolis,9
4,Reza Jafari,Malavan,9
7,Mohammad Reza Azadi,Nassaji,8
7,Mehrdad Mohammadi,Esteghlal,8
7,Ramin Rezaeian,Sepahan,8
7,Amirmasoud Sarabadani,Shams Azar,8
7,Saeid Saharkhizan,Gol Gohar,8
7,Mohammad Reza Soleimani,Malavan,8
