رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,پرسپولیس,۳۰,۲۰,۸,۲,۴۵,۱۸,۲۷+,۶۸,صعود به مرحله گروهی لیگ قهرمانان آسیا
۲,استقلال,۳۰,۱۹,۱۰,۱,۴۰,۱۵,۲۵+,۶۷,صعود به مرحله گروهی لیگ قهرمانان آسیا
۳,سپاهان[a],۳۰,۱۷,۶,۷,۵۳,۲۶,۲۷+,۵۷,صعود به مرحله مقدماتی لیگ قهرمانان آسیا
۴,تراکتور[b],۳۰,۱۶,۶,۸,۴۲,۲۲,۲۰+,۵۴,صعود به مرحله گروهی لیگ ۲ قهرمانان آسیا ۲۵–۲۰۲۴
۵,ذوب‌آهن,۳۰,۱۱,۹,۱۰,۳۰,۳۰,۰,۴۲,
۶,ملوان,۳۰,۱۰,۱۱,۹,۳۱,۲۶,۵+,۴۱,
۷,آلومینیوم اراک,۳۰,۱۰,۹,۱۱,۲۷,۳۳,۶−,۳۹,
۸,شمس آذر,۳۰,۱۱,۹,۱۰,۳۵,۳۵,۰,۳۹[c],
۹,گل‌گهر,۳۰,۸,۱۲,۱۰,۳۰,۲۸,۲+,۳۶,
۱۰,مس رفسنجان,۳۰,۸,۱۱,۱۱,۳۲,۳۷,۵−,۳۵,
۱۱,فولاد,۳۰,۷,۸,۱۵,۲۰,۴۰,۲۰−,۲۹,
۱۲,نساجی,۳۰,۷,۸,۱۵,۲۷,۳۶,۹−,۲۹,
۱۳,هوادار,۳۰,۶,۱۱,۱۳,۳۱,۴۸,۱۷−,۲۹,
۱۴,استقلال‌خوزستان,۳۰,۶,۱۰,۱۴,۳۱,۴۲,۱۱−,۲۸,
۱۵,پیکان,۳۰,۴,۱۵,۱۱,۲۵,۳۸,۱۳−,۲۷,سقوط به لیگ آزادگان
۱۶,صنعت نفت,۳۰,۴,۹,۱۷,۲۴,۴۹,۲۵−,۲۱,سقوط به لیگ آزادگان
