0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,است,پرس,سپا,گل‌گ,فول,مس.ر,ذوب,آ.اراک,پیک,صنآ,هوا,نسا,تراک,اس.خ,ملو,شمس
استقلال,,۰–۰,۱–۰,۱–۰,۱–۰,۲–۲,۲–۱,۱–۰,۲–۱,۱–۰,۳–۲,۴–۰,۲–۰,۱–۰,۱–۰,۳–۲
پرسپولیس,۱–۱,,۰–۰,۱–۰,۴–۲,۱–۰,۱–۱,۱–۰,۲–۰,۲–۲,۱–۰,۱–۰,۲–۰,۴–۳,۱–۰,۲–۱
سپاهان,۱–۰,۱–۰,,۲–۰,۳–۱,۴–۱,۱–۰,۰–۱,۲–۳,۴–۱,۲–۰,۰–۰,۳–۱,۱–۱,۲–۳,۴–۱
گل‌گهر سیرجان,۱–۱,۰–۱,۳–۱,,۳–۰,۲–۰,۱–۲,۲–۳,۲–۲,۱–۰,۳–۳,۳–۰,۰–۱,۲–۲,۱–۱,۰–۰
فولاد,۰–۰,۰–۲,۱–۳,۰–۱,,۰–۱,۱–۰,۱–۰,۲–۲,۱–۲,۳–۳,۱–۰,۰–۲,۱–۰,۱–۱,۰–۱
مس رفسنجان,۰–۱,۱–۱,۱–۱,۱–۱,۳–۰,,۲–۲,۲–۰,۲–۲,۰–۲,۰–۰,۱–۱,۱–۱,۲–۳,۱–۴,۰–۳
ذوب‌آهن,۱–۱,۰–۱,۰–۲,۰–۰,۰–۰,۱–۲,,۲–۰,۱–۰,۲–۱,۰–۰,۰–۲,۱–۰,۰–۲,۰–۱,۰–۲
آلومینیوم اراک,۰–۱,۱–۰,۰–۱,۰–۰,۱–۱,۱–۳,۱–۱,,۱–۱,۱–۱,۱–۱,۱–۰,۰–۴,۱–۰,۱–۱,۲–۰
پیکان,۰–۲,۱–۳,۱–۳,۰–۰,۰–۰,۰–۱,۰–۰,۰–۱,,۲–۲,۲–۲,۱–۱,۰–۰,۱–۰,۱–۰,۱–۱
صنعت نفت,۰–۳,۰–۳,۲–۱,۰–۱,۰–۲,۱–۰,۰–۱,۱–۲,۱–۱,,۰–۲,۱–۱,۰–۳,۱–۱,۱–۱,۲–۲
هوادار,۰–۱,۰–۲,۰–۵,۱–۰,۰–۱,۰–۰,۲–۲,۱–۲,۰–۰,۲–۱,,۰–۵,۰–۱,۲–۰,۰–۱,۲–۱
نساجی,۰–۰,۱–۲,۱–۱,۰–۱,۰–۱,۰–۳,۱–۲,۰–۱,۱–۱,۳–۱,۲–۲,,۱–۰,۱–۰,۰–۱,۱–۰
تراکتور,۰–۰,۰–۱,۰–۰,۲–۰,۲–۰,۱–۰,۱–۴,۱–۱,۲–۰,۳–۰,۴–۲,۳–۰,,۲–۰,۳–۱,۲–۳
استقلال خوزستان,۰–۱,۲–۲,۱–۳,۱–۱,۰–۰,۲–۱,۱–۲,۳–۲,۰–۱,۲–۱,۳–۱,۱–۴,۰–۱,,۱–۱,۱–۱
ملوان,۱–۱,۰–۰,۱–۲,۱–۰,۴–۰,۰–۱,۱–۲,۱–۱,۲–۰,۱–۰,۱–۱,۱–۰,۰–۰,۱–۱,,۰–۲
شمس آذر,۲–۲,۱–۳,۱–۰,۱–۱,۱–۰,۰–۰,۱–۲,۲–۱,۲–۱,۰–۰,۱–۲,۲–۱,۰–۲,۰–۰,۱–۰,
