0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,است,اس.خ,جم,شهر,پرس,پیک,تراک,ذوب,سای,سپا,سپد,صنآ,فول,ماش,نسا,نمس
استقلال,,۴–۲,۲–۰,۰–۰,۰–۰,۰–۰,۳–۰,۳–۰,۰–۰,۰–۱,۲–۱,۳–۰,۰–۰,۱–۰,۱–۰,۱–۰
استقلال خوزستان,۰–۱,,۰–۲,۱–۲,۰–۰,۰–۱,۰–۳,۱–۰,۱–۲,۱–۱,۲–۰,۱–۱,۱–۳,۰–۱,۱–۱,۱–۲
پارس جم,۱–۰,۲–۱,,۱–۱,۰–۱,۳–۰,۰–۱,۰–۲,۰–۰,۲–۲,۲–۲,۲–۲,۰–۰,۰–۱,۳–۱,۲–۰
شهرخودرو,۱–۰,۱–۰,۱–۰,,۰–۱,۲–۱,۰–۰,۰–۱,۱–۰,۱–۱,۲–۰,۱–۰,۲–۰,۲–۲,۳–۰,۳–۰
پرسپولیس,۱–۰,۲–۰,۳–۱,۲–۰,,۲–۱,۰–۰,۱–۰,۳–۲,۰–۰,۱–۰,۱–۰,۳–۰,۱–۱,۲–۱,۰–۰
پیکان,۰–۴,۱–۰,۳–۲,۰–۰,۰–۲,,۱–۲,۰–۱,۳–۰,۰–۱,۱–۰,۱–۱,۲–۳,۱–۱,۰–۱,۱–۰
تراکتور,۱–۰,۶–۰,۱–۱,۱–۰,۱–۱,۰–۱,,۴–۱,۱–۰,۲–۰,۲–۱,۱–۰,۱–۲,۲–۱,۱–۱,۳–۰
ذوب‌آهن,۲–۲,۲–۰,۰–۱,۱–۲,۰–۰,۱–۱,۲–۰,,۰–۲,۱–۲,۰–۰,۲–۲,۳–۱,۰–۰,۰–۰,۰–۰
سایپا,۱–۲,۱–۱,۱–۰,۰–۱,۱–۱,۳–۱,۰–۰,۰–۰,,۲–۵,۳–۰,۰–۳,۱–۰,۰–۰,۰–۰,۲–۱
سپاهان,۰–۱,۲–۰,۱–۰,۱–۰,۱–۱,۰–۰,۲–۲,۱–۱,۳–۰,,۳–۰,۰–۰,۳–۱,۲–۰,۳–۲,۱–۰
سپیدرود,۰–۵,۱–۲,۱–۰,۰–۲,۱–۳,۲–۲,۳–۱,۰–۰,۲–۲,۱–۶,,۰–۰,۱–۲,۱–۱,۱–۳,۰–۱
صنعت نفت,۰–۰,۲–۲,۱–۰,۰–۰,۱–۱,۰–۳,۲–۱,۱–۲,۲–۱,۰–۰,۱–۱,,۰–۰,۱–۱,۱–۱,۳–۱
فولاد,۱–۳,۰–۰,۲–۱,۱–۱,۲–۱,۱–۱,۲–۲,۱–۱,۱–۲,۱–۱,۰–۱,۱–۴,,۱–۱,۲–۱,۱–۰
ماشین‌سازی,۰–۰,۱–۱,۱–۰,۱–۲,۰–۱,۰–۱,۰–۲,۱–۲,۰–۰,۱–۱,۱–۱,۱–۰,۰–۱,,۰–۰,۱–۱
نساجی,۰–۰,۲–۰,۱–۱,۱–۰,۱–۱,۲–۰,۱–۱,۰–۱,۱–۱,۰–۰,۲–۲,۱–۲,۲–۰,۰–۰,,۱–۰
نفت م.س,۱–۲,۰–۰,۱–۱,۰–۱,۰–۰,۱–۰,۰–۰,۲–۲,۰–۱,۰–۲,۱–۱,۱–۱,۰–۰,۱–۱,۲–۲,
