0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ميزبان / ميهمان۱,ابو,اس ا,استقلال,آذن,پاس,پرس,پیک,ترا,ذوب,راه,سای,سپا,بوش,صبا,فول,مس,مقا,ملو
ابومسلم,,۲–۰,۰–۵,۲–۲,۰–۰,۳–۱,۲–۱,۳–۰,۱–۲,۱–۱,۱–۱,۲–۲,۱–۱,۱–۳,۱–۱,۱–۰,۳–۰,۲–۱
استقلال اهواز,۱–۱,,۰–۲,۱–۱,۰–۱,۱–۰,۳–۱,۲–۳,۱–۲,۱–۳,۴–۴,۰–۵,۲–۲,۰–۱,۰–۱,۱–۰,۰–۰,۲–۰
استقلال,۳–۱,۲–۳,,۲–۰,۱–۰,۱–۱,۲–۳,۲–۲,۱–۰,۱–۰,۲–۱,۱–۰,۲–۱,۱–۱,۱–۰,۲–۰,۳–۲,۲–۲
استیل‌آذین,۰–۰,۰–۱,۰–۲,,۲–۲,۲–۱,۰–۱,۲–۲,۲–۲,۱–۱,۴–۳,۲–۱,۲–۱,۴–۳,۲–۳,۱–۱,۱–۱,۲–۲
پاس همدان,۱–۰,۲–۱,۰–۰,۰–۲,,۱–۲,۲–۲,۱–۱,۱–۱,۰–۱,۳–۱,۱–۱,۰–۱,۲–۱,۳–۱,۱–۰,۳–۱,۱–۱
پرسپولیس,۲–۱,۱–۱,۲–۱,۰–۰,۱–۰,,۱–۲,۲–۱,۱–۱,۱–۰,۰–۲,۱–۱,۲–۲,۱–۰,۱–۰,۲–۰,۴–۲,۱–۱
پیکان,۲–۰,۳–۱,۱–۱,۰–۱,۲–۲,۱–۳,,۱–۰,۱–۱,۱–۱,۱–۱,۱–۴,۰–۲,۱–۱,۱–۱,۰–۰,۰–۲,۴–۰
تراکتور,۱–۰,۲–۱,۱–۱,۲–۱,۲–۲,۱–۱,۱–۰,,۰–۰,۲–۱,۱–۲,۱–۱,۱–۱,۳–۱,۱–۰,۱–۰,۰–۰,۲–۱
ذوب آهن,۳–۱,۵–۲,۱–۰,۳–۱,۰–۱,۱–۱,۲–۲,۱–۰,,۱–۲,۳–۰,۰–۰,۱–۰,۲–۱,۱–۰,۰–۰,۲–۰,۳–۰
راه‌آهن,۱–۰,۱–۱,۳–۲,۱–۱,۰–۰,۲–۲,۳–۰,۰–۰,۰–۰,,۰–۱,۰–۱,۱–۲,۱–۳,۲–۱,۳–۲,۰–۰,۱–۲
سایپا,۱–۰,۲–۴,۱–۱,۲–۲,۳–۰,۰–۲,۰–۲,۱–۰,۲–۱,۲–۱,,۲–۲,۱–۰,۲–۰,۱–۲,۲–۱,۱–۱,۳–۱
سپاهان,۲–۰,۴–۱,۲–۰,۰–۱,۳–۱,۲–۱,۲–۱,۳–۱,۰–۱,۲–۰,۵–۱,,۲–۰,۳–۱,۱–۱,۳–۰,۵–۱,۲–۰
شاهین بوشهر,۱–۱,۰–۰,۰–۱,۱–۲,۳–۰,۴–۱,۰–۰,۲–۴,۱–۱,۳–۱,۲–۰,۱–۲,,۰–۱,۰–۱,۴–۱,۰–۰,۱–۱
صبای قم,۲–۱,۲–۰,۲–۱,۴–۲,۲–۱,۱–۱,۰–۰,۲–۱,۱–۱,۰–۱,۲–۲,۲–۲,۴–۰,,۱–۱,۱–۳,۱–۲,۰–۱
فولاد,۱–۰,۱–۱,۱–۱,۰–۱,۳–۲,۰–۰,۱–۱,۱–۱,۱–۱,۴–۰,۱–۱,۰–۰,۰–۰,۲–۱,,۰–۴,۱–۱,۰–۰
مس کرمان,۵–۲,۲–۰,۱–۲,۲–۶,۳–۲,۳–۳,۳–۳,۳–۲,۵–۲,۲–۲,۳–۲,۲–۳,۱–۰,۰–۰,۲–۰,,۰–۰,۴–۲
مقاومت سپاسی,۱–۱,۳–۲,۰–۰,۱–۲,۱–۰,۱–۲,۱–۰,۲–۲,۰–۲,۲–۱,۰–۰,۳–۱,۰–۱,۱–۴,۰–۱,۱–۱,,۴–۰
ملوان,۳–۱,۱–۰,۰–۰,۱–۳,۱–۰,۱–۱,۰–۱,۱–۱,۰–۱,۲–۱,۱–۰,۰–۰,۰–۰,۱–۳,۱–۰,۲–۱,۱–۰,
