رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,سپاهان,۳۴,۱۹,۱۰,۵,۶۷,۳۰,۳۷+,۶۷,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۱
۲,ذوب‌آهن,۳۴,۱۶,۱۳,۵,۴۸,۲۹,۱۹+,۶۱,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۱
۳,استقلال,۳۴,۱۶,۱۱,۷,۴۹,۳۲,۱۷+,۵۹,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۱
۴,پرسپولیس,۳۴,۱۳,۱۴,۷,۴۶,۴۰,۶+,۵۳,صعود به مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۱۱
۵,استیل آذین,۳۴,۱۳,۱۳,۸,۵۵,۴۹,۶+,۵۲,
۶,صبا,۳۴,۱۳,۹,۱۲,۵۲,۴۵,۷+,۴۸,
۷,تراکتورسازی,۳۴,۱۱,۱۴,۹,۴۳,۴۲,۱+,۴۷,
۸,سایپا,۳۴,۱۲,۱۰,۱۲,۴۸,۵۳,۵−,۴۶,
۹,مس,۳۴,۱۱,۹,۱۴,۵۵,۵۶,۱−,۴۲,
۱۰,فولاد,۳۴,۹,۱۵,۱۰,۳۱,۳۴,۳−,۴۲,
۱۱,پیکان,۳۴,۹,۱۴,۱۱,۴۰,۴۴,۴−,۴۱,
۱۲,ملوان,۳۴,۱۰,۱۱,۱۳,۳۱,۴۷,۱۶−,۴۱,
۱۳,شاهین بوشهر,۳۴,۹,۱۲,۱۳,۳۷,۳۷,۰,۳۹,
۱۴,راه‌آهن,۳۴,۹,۱۱,۱۴,۳۶,۴۴,۸−,۳۸,
۱۵,پاس,۳۴,۹,۱۱,۱۴,۳۶,۴۴,۸−,۳۸,
۱۶,فجر سپاسی,۳۴,۸,۱۳,۱۳,۳۴,۴۵,۱۱−,۳۷,سقوط به لیگ آزادگان ۹۰–۱۳۸۹
۱۷,ابومسلم,۳۴,۷,۱۱,۱۶,۳۶,۵۱,۱۵−,۳۲,سقوط به لیگ آزادگان ۹۰–۱۳۸۹
۱۸,استقلال اهواز,۳۴,۷,۹,۱۸,۳۸,۶۰,۲۲−,۳۰,سقوط به لیگ آزادگان ۹۰–۱۳۸۹
