رتبه,بازیکن,باشگاه,پاس گل ها
۱,احسان حاج‌صفی,سپاهان,۱۳
۲,خسرو حیدری,استقلال,۱۲
۳,میلاد زنیدپور,راه آهن,۱۱
۴,ابراهیم صادقی,سایپا,۱۰
۵,مهدی کریمیان,سپاهان,۸
۵,حسن اشجاری,ذوب آهن,۸
۷,احمد جمشیدیان,سپاهان,۷
۷,میلاد میداوودی,استقلال اهواز,۷
