رتبه,نام,تیم,گل
۱,غلامرضا عنایتی,ابومسلم,۱۷
۲,علی‌اصغر مدیرروستا,پیکان,۱۱
۳,سهراب انتظاری,پرسپولیس,۹
۴,بهنام سراج,فولاد,۹
۵,خداداد عزیزی,پاس,۸
۶,سیروس دین‌محمدی,استقلال تهران,۷
۷,رسول خطیبی,پاس,۸
۸,رضا استواری,پیکان,۸
۹,محمد منصوری,برق شیراز,۸
۱۰,فراز فاطمی,استقلال تهران,۷
۱۱,رضا صاحبی,ذوب‌آهن,۷
۱۲,جواد کاظمیان,سایپا,۷
۱۳,یحیی گل‌محمدی,فولاد,۶
۱۴,ادموند بزیک,سپاهان,۶
۱۵,ایمان رزاقی‌راد,ابومسلم,۶
