رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,پیروزی,۲۶,۱۳,۱۰,۳,۳۶,۲۳,۱۳+,۴۹,صعود به مرحله گروهی لیگ قهرمانان آسیا
۲,استقلال,۲۶,۱۳,۹,۴,۳۸,۲۱,۱۷+,۴۸,صعود به مرحله گروهی لیگ قهرمانان آسیا۱
۳,فولاد,۲۶,۱۲,۹,۵,۳۲,۲۳,۹+,۴۵,
۴,پاس,۲۶,۱۰,۱۳,۳,۳۹,۲۴,۱۵+,۴۳,
۵,ابومسلم,۲۶,۱۱,۷,۸,۴۰,۳۱,۹+,۴۰,
۶,ذوب‌آهن,۲۶,۱۰,۹,۷,۳۵,۳۰,۵+,۳۹,
۷,پیکان,۲۶,۱۱,۵,۱۰,۲۸,۲۲,۶+,۳۸,
۸,برق شیراز,۲۶,۹,۱۰,۷,۲۸,۲۵,۳+,۳۷,
۹,سپاهان,۲۶,۷,۱۱,۸,۲۲,۲۲,۰,۳۲,
۱۰,فجر سپاسی,۲۶,۶,۹,۱۱,۱۵,۲۰,۵−,۲۷,
۱۱,سایپا,۲۶,۶,۹,۱۱,۲۴,۳۰,۶−,۲۷,
۱۲,ملوان,۲۶,۶,۹,۱۱,۲۰,۳۶,۱۶−,۲۷,
۱۳,استقلال رشت,۲۶,۳,۷,۱۶,۱۸,۴۴,۲۶−,۱۶,سقوط به لیگ آزادگان ۸۲–۱۳۸۱
۱۴,تراکتورسازی,۲۶,۲,۹,۱۵,۱۲,۳۶,۲۴−,۱۵,سقوط به لیگ آزادگان ۸۲–۱۳۸۱
