رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,توضیحات
۱,سایپا,۲۲,۱۱,۷,۴,۳۰,۱۶,+۱۴,۲۹,صعود به نیمه نهایی
۲,استقلال تهران,۲۲,۱۰,۷,۵,۲۵,۲۰,+۵,۲۷,صعود به نیمه نهایی
۳,ماشین‌سازی,۲۲,۹,۷,۶,۲۷,۲۱,+۶,۲۵,
۴,شهرداری تبریز,۲۲,۷,۱۰,۵,۲۶,۲۲,+۴,۲۴,
۵,جنوب اهواز,۲۲,۶,۱۲,۴,۲۳,۱۹,+۴,۲۴,
۶,سپاهان,۲۲,۸,۶,۸,۲۸,۲۵,+۳,۲۲,
۷,نفت قائم‌شهر,۲۲,۸,۶,۸,۲۰,۲۲,-۲,۲۲,سقوط به دسته دوم
۸,چوکا تالش,۲۲,۷,۸,۷,۱۵,۱۹,-۴,۲۲,سقوط به دسته دوم
۹,بانک تجارت,۲۲,۷,۷,۸,۲۷,۲۲,+۵,۲۱,سقوط به دسته دوم
۱۰,پیام گچ خراسان,۲۲,۶,۶,۱۰,۲۱,۳۲,-۱۱,۱۸,سقوط به دسته دوم
۱۱,پارس‌خودرو,۲۲,۲,۱۱,۹,۱۹,۲۹,-۱۰,۱۵,سقوط به دسته دوم
۱۲,نفت آبادان,۲۲,۳,۹,۱۰,۲۷,۳۵,-۸,۱۵,سقوط به دسته دوم
